"lineage","sample","meanAF","meanAF_uniq","minAF_uniq_nonzero","N","lineage N. rules","lineage prop."
"P.2",NA,0,0,NA,0,1,0
"P.3",NA,0,0,NA,0,1,0
"P.6",NA,0,0,NA,0,1,0
"P.7",NA,0,0,NA,0,1,0
"Q.1",NA,0,0,NA,0,1,0
"Q.3",NA,0,0,NA,0,1,0
"Q.4",NA,0,0,NA,0,1,0
"Q.6",NA,0,0,NA,0,1,0
"Q.8",NA,0,0,NA,0,1,0
"R.1",NA,0,0,NA,0,1,0
"R.2",NA,0,0,NA,0,1,0
"W.1",NA,0,0,NA,0,1,0
"XAA","Mixture04",0.0181818181818182,0,NA,1,55,0.0181818181818182
"XAC",NA,0,0,NA,0,1,0
"XAE","Mixture04",0.0196078431372549,0,NA,1,51,0.0196078431372549
"XAF","Mixture04",0.0185185185185185,0,NA,1,54,0.0185185185185185
"XAG","Mixture04",0.0188679245283019,0,NA,1,53,0.0188679245283019
"XAH",NA,0,0,NA,0,1,0
"XAJ","Mixture04",0.0175438596491228,0,NA,1,57,0.0175438596491228
"XAK","Mixture04",0.0196078431372549,0,NA,1,51,0.0196078431372549
"XAM","Mixture04",0.0181818181818182,0,NA,1,55,0.0181818181818182
"XAN","Mixture04",0.0172413793103448,0,NA,1,58,0.0172413793103448
"XAP","Mixture04",0.0192307692307692,0,NA,1,52,0.0192307692307692
"XAQ","Mixture04",0.0196078431372549,0,NA,1,51,0.0196078431372549
"XAS","Mixture04",0.0181818181818182,0,NA,1,55,0.0181818181818182
"XAU","Mixture04",0.0188679245283019,0,NA,1,53,0.0188679245283019
"XAV","Mixture04",0.0175438596491228,0,NA,1,57,0.0175438596491228
"XAY","Mixture04",0.0161290322580645,0,NA,1,62,0.0161290322580645
"XAY.1","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XAY.1.1.1","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XAY.2","Mixture04",0.0161290322580645,0,NA,1,62,0.0161290322580645
"XAY.2.3","Mixture04",0.0153846153846154,0,NA,1,65,0.0153846153846154
"XAZ","Mixture04",0.0178571428571429,0,NA,1,56,0.0178571428571429
"XB",NA,0,0,NA,0,1,0
"XBB","Mixture04",0.0153846153846154,0,NA,1,65,0.0153846153846154
"XBB.1","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBB.1.1","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.10","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBB.1.11","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.11.1",NA,0,0,NA,0,1,0
"XBB.1.12","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.13","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.14","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.15","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.16","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBB.1.16.1","Mixture04",0.0136986301369863,0,NA,1,73,0.0136986301369863
"XBB.1.16.2","Mixture04",0.0135135135135135,0,NA,1,74,0.0135135135135135
"XBB.1.16.3","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.16.4","Mixture04",0.0136986301369863,0,NA,1,73,0.0136986301369863
"XBB.1.16.5","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBB.1.16.6","Mixture04",0.0136986301369863,0,NA,1,73,0.0136986301369863
"XBB.1.17","Mixture04",0.02,0,NA,1,50,0.02
"XBB.1.17.1","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.18","Mixture04",0.0163934426229508,0,NA,1,61,0.0163934426229508
"XBB.1.18.1","Mixture04",0.0153846153846154,0,NA,1,65,0.0153846153846154
"XBB.1.19","Mixture04",0.0153846153846154,0,NA,1,65,0.0153846153846154
"XBB.1.19.1","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.20","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.21","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.22","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.22.1","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.22.2","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.24","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.24.1","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.24.2","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.24.3","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBB.1.25","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.26","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBB.1.27","Mixture04",0.0166666666666667,0,NA,1,60,0.0166666666666667
"XBB.1.28","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.28.1","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.29","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.3","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBB.1.30","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.31","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.32","Mixture04",0.0208333333333333,0,NA,1,48,0.0208333333333333
"XBB.1.33","Mixture04",0.0135135135135135,0,NA,1,74,0.0135135135135135
"XBB.1.34","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.35","Mixture04",0.0149253731343284,0,NA,1,67,0.0149253731343284
"XBB.1.36","Mixture04",0.0149253731343284,0,NA,1,67,0.0149253731343284
"XBB.1.37","Mixture04",0.0175438596491228,0,NA,1,57,0.0175438596491228
"XBB.1.37.1","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.38","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.39","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.4","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.4.1","Mixture04",0.0149253731343284,0,NA,1,67,0.0149253731343284
"XBB.1.40","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.1","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.10","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.5.11","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.12","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.13","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.14","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.15","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.16","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
