	summarized	lineages	abundances	resid	coverage
Mixture34	[('Alpha', 0.9722), ('Gamma', 0.0162), ('Other', 0.0041), ('Omicron', 0.0031999999999999997), ('Zeta', 0.0009), ('Eta', 0.0007), ('Delta', 0.0007), ('Mu', 0.0007), ('Iota', 0.0003), ('Beta', 0.0003), ('Lambda', 0.0003), ('Kappa', 0.0002), ('A', 0.0002)]	B.1.1.7 P.1 BA.5 BA.1 AV.1 B.1.623 B.1.177 P.2 B.1.525 B.1.617.2 B.1.621 B.1.1.318 B.1.526 B.1.351 C.37 B.1.617.3 BA.3 B.1.617.1 A.23.1 Other	0.9722 0.0162 0.0016 0.0013 0.0013 0.0011 0.0009 0.0009 0.0007 0.0007 0.0007 0.0005 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0002 -0.0		
Mixture35	[('Gamma', 0.967), ('Alpha', 0.0181), ('Omicron', 0.0057), ('Other', 0.0038), ('Eta', 0.0018), ('A', 0.0011), ('Zeta', 0.0007), ('Delta', 0.0006), ('Lambda', 0.0005), ('Mu', 0.0004), ('Beta', 0.0003)]	P.1 B.1.1.7 BA.5 BA.1 B.1.525 B.1.177 AV.1 A.23.1 BA.2 P.2 429 B.1.617.2 C.37 B.1.621 B.1.351 B.1.623 B.1.1.318 Other	0.967 0.0181 0.003 0.0018 0.0018 0.0014 0.0011 0.0011 0.0009 0.0007 0.0007 0.0006 0.0005 0.0004 0.0003 0.0003 0.0003 0.0		
Mixture36	[('Iota', 0.8511), ('Zeta', 0.0949), ('Gamma', 0.0273), ('Omicron', 0.0113), ('Other', 0.0060999999999999995), ('Mu', 0.0038), ('Delta', 0.0019), ('Eta', 0.0017), ('Theta', 0.001), ('Alpha', 0.0007)]	B.1.526 P.2 P.1 BA.5 BA.1 B.1.621 B.1.177 B.1.617.2 B.1.525 AV.1 B.1.623 BA.4 P.3 B.1.1.7 Other	0.8511 0.0949 0.0273 0.006 0.0038 0.0038 0.0029 0.0019 0.0017 0.0017 0.0015 0.0015 0.001 0.0007 -0.0		
Mixture37	[('Delta', 0.564), ('Other', 0.39780000000000004), ('Zeta', 0.0102), ('Gamma', 0.0069), ('Iota', 0.0064), ('Kappa', 0.0049), ('Omicron', 0.004), ('Alpha', 0.0032), ('Eta', 0.0013), ('A', 0.0012), ('Mu', 0.0003)]	B.1.617.2 B.1 B.1.617.3 P.2 P.1 B.1.526 B.1.617.1 429 BA.5 B.1.1.7 B.1.623 B.1.177 AV.1 B.1.525 A.23.1 B.1.1.318 BA.1 B.1.621 Other	0.564 0.2869 0.1 0.0102 0.0069 0.0064 0.0049 0.004 0.0034 0.0032 0.0021 0.002 0.0019 0.0013 0.0012 0.0009 0.0006 0.0003 0.0		
Mixture38	[('Omicron', 0.9816999999999999), ('Gamma', 0.0101), ('Other', 0.0029), ('Zeta', 0.0017), ('Mu', 0.0011), ('A', 0.0007), ('Delta', 0.0006), ('Eta', 0.0004), ('Theta', 0.0003), ('Lambda', 0.0003), ('Alpha', 0.0002)]	BA.1 BA.5 P.1 P.2 B.1.621 A.23.1 B.1.617.2 429 B.1.525 B.1.177 BA.3 B.1.623 P.3 C.37 AV.1 BA.2.12.1 B.1.1.7 Other	0.9537 0.0274 0.0101 0.0017 0.0011 0.0007 0.0006 0.0004 0.0004 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0016		
Mixture39	[('Omicron', 0.9356), ('Alpha', 0.0469), ('Gamma', 0.0065), ('Zeta', 0.0029), ('Other', 0.0022), ('Eta', 0.0017), ('Lambda', 0.0015), ('Kappa', 0.001), ('Mu', 0.0008), ('Delta', 0.0007), ('Beta', 0.0003)]	BA.2 B.1.1.7 BA.4 P.1 BA.2.12.1 P.2 B.1.525 C.37 B.1.617.1 B.1.621 BA.1 AV.1 B.1.617.2 B.1.623 B.1.177 B.1.1.318 B.1.351 Other	0.9231 0.0469 0.0085 0.0065 0.0033 0.0029 0.0017 0.0015 0.001 0.0008 0.0007 0.0007 0.0007 0.0006 0.0005 0.0004 0.0003 0.0		
Mixture40	[('Omicron', 0.9727), ('Gamma', 0.0096), ('Other', 0.0068000000000000005), ('Zeta', 0.0033), ('Alpha', 0.003), ('Kappa', 0.0016), ('Delta', 0.0015), ('Theta', 0.0006), ('Beta', 0.0005), ('Eta', 0.0003)]	BA.2.12.1 P.1 BA.1 P.2 B.1.1.7 B.1.617.1 B.1.617.2 429 P.3 AV.1 B.1.351 B.1.177 B.1.525 Other	0.966 0.0096 0.0067 0.0033 0.003 0.0016 0.0015 0.0008 0.0006 0.0006 0.0005 0.0004 0.0003 0.005		
Mixture41	[('Omicron', 0.9525), ('Zeta', 0.0314), ('Other', 0.008599999999999998), ('Eta', 0.0018), ('Mu', 0.0016), ('Theta', 0.0011), ('Kappa', 0.001), ('Gamma', 0.0007), ('Beta', 0.0005), ('Alpha', 0.0003), ('Delta', 0.0003), ('A', 0.0002)]	BA.4 P.2 BA.1 AV.1 BA.5 B.1.525 B.1.621 B.1.617.3 P.3 B.1.617.1 P.1 B.1.623 BA.3 B.1.351 B.1.177 B.1.1.7 B.1.617.2 A.23.1 Other	0.9334 0.0314 0.0129 0.0063 0.0055 0.0018 0.0016 0.0012 0.0011 0.001 0.0007 0.0007 0.0007 0.0005 0.0004 0.0003 0.0003 0.0002 0.0		
Mixture42	[('Omicron', 0.9466999999999999), ('Zeta', 0.0278), ('Gamma', 0.008), ('Lambda', 0.0049), ('Other', 0.0048000000000000004), ('Alpha', 0.0025), ('Mu', 0.0021), ('Eta', 0.0013), ('Delta', 0.0006), ('Kappa', 0.0006), ('A', 0.0005), ('Beta', 0.0004)]	BA.5 BA.1 P.2 P.1 C.37 B.1.1.7 B.1.623 B.1.621 BA.2.12.1 B.1.525 AV.1 B.1.617.2 B.1.617.1 A.23.1 429 B.1.351 B.1.177 B.1.617.3 BA.2 Other	0.8563 0.0886 0.0278 0.008 0.0049 0.0025 0.0024 0.0021 0.0015 0.0013 0.0011 0.0006 0.0006 0.0005 0.0005 0.0004 0.0004 0.0004 0.0003 0.0		
NFWA	[('Omicron', 1.0), ('Other', 0.0)]	BA.2.12.1 BA.5 Other	0.5179 0.4821 0.0		
NFWC	[('A', 0.6254), ('Other', 0.1503), ('Omicron', 0.1369), ('Gamma', 0.0875)]	A.23.1 B.1.623 P.1 BA.1 BA.2 Other	0.6254 0.1503 0.0875 0.0793 0.0576 0.0		
