Sample name	summarized	lineages	abundances	resid	coverage	plate	plate_date	collection_site_id	collection_date	sample_title
4411	[('Omicron', 0.9805102338202977), ('Other', 0.0010133399999385302)]	XBB.1.5.34 XBB.1.5.11 XBB.1.5.7 XBB.1.5.1 XBB.1.5.28 XBB.1.5.12 XBB.1.5.18 XBB.1.5.86 XBB.1.5.36 XBB.1.5.40 XBB.1.5.3 XBB.1.5.52 XBB.1.5.59 XBB.1.5.16 XBB.1.5.75 XBB.1.5.31 XBB.1.5.69 XBB.1.5.30 EM.1 XBB.1.5.21 XBB.1.5.32 XBB.1.5.14 XBB.1.5.84 XBB.1.5.48 XBB.1.5.49 FG.2 XBB.1.5 GC.2 XBB.1.5.77 XBB.1.5.37 XBB.1.5.2 FP.3 XAD XAP XBB.1.45.1 XBB.1.5.57 EK.1 XBB.1.12 XBB.1.5.51 XBB.1.5.73 XBB.1.14 XBB.9 BF.9 BA.5.3.5 XBB.1.5.44 XBB.1.5.8 XBB.1.5.79 XAC XCG	0.33333300 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.01993914 0.00974945 0.00543779 0.00543779 0.00394407 0.00372820 0.00257853 0.00256193 0.00225734 0.00213156 0.00199442 0.00152464 0.00143954 0.00138340 0.00134953 0.00122287 0.00115949 0.00110254 0.00101334	6.081312796860326	35.8693107714945	08-25-23-A4-1	2023-08-25	4411	2023-03-24	charlotte 4
042423_21	[('Omicron', 0.9868116471815449), ('Other', 0.0011174760995626381)]	XBB.1.5.61 XBB.1.5.39 XBB.1.5.37 XBB.1.5.49 XBB.1.5.78 XBB.1.5.19 XBB.1.5.25 XBB.1.5.59 FD.2 XBB.1.5.57 XBB.1.5.72 XBB.1.5.1 XBB.1.5.8 GR.1 XCG XBB.1.5.79 XBB.1.44 XBB.1.5.63	0.13256401 0.13256401 0.13256401 0.13256401 0.13256401 0.13256401 0.13256401 0.02473216 0.02030438 0.00387996 0.00208117 0.00186269 0.00148351 0.00134878 0.00111748 0.00108759 0.00104843 0.00103493	6.981331229555622	48.56368926194696	08-25-23-A4-1	2023-08-25	042423_21	2023-04-25	greensboro - north buffalo
042423_20	[('Omicron', 0.9867860296368953), ('Other', 0.0012210128226169288)]	XBB.1.5.34 XBB.1.5.79 XBB.1.5.63 XBB.1.5.56 XBB.1.5.84 XBB.1.5.32 XBB.1.5.6 XBB.1.5.49 XAC XBB.1.5.47 XBB.2.11.1 FG.2 XBB.1.5 XBB.1.5.31 XBB.1.5.18 XBB.1.5.28 XBB.1.5.86 XBB.1.5.40 FG.3 XBB.1.5.52 XBB.1.5.59 XBB.1.5.16 XBB.1.10 XBB.1.5.41 EL.1 FH.1 XBB.1.23 BF.15 B.1.1.500 XBB.1.15 XBB.1.16.4	0.20000000 0.12500000 0.10000000 0.09905488 0.09905488 0.09905488 0.09905488 0.09905488 0.01266700 0.00470679 0.00352113 0.00309488 0.00309488 0.00309488 0.00309488 0.00309488 0.00309488 0.00309488 0.00309488 0.00309488 0.00309488 0.00309488 0.00193103 0.00182482 0.00155521 0.00140069 0.00130993 0.00123757 0.00122101 0.00121481 0.00109902	4.293572689038207	36.00976490653112	08-25-23-A4-1	2023-08-25	042423_20	2023-04-25	fayetteville - rockfish
042023_21	[('Omicron', 0.980480765615901), ('Other', 0.002902853995105917)]	XBB.1.38 XBB.1.43 XBB.1.5.25 XBB.1.5.49 XBB.1.5.32 FD.2 XBB.1.5.36 XBB.1.5 XBB.1.5.14 XBB.1.5.31 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.12 XBB.1.5.86 XBB.1.5.11 XBB.1.5.52 XBB.1.5.59 XBB.1.5.69 XBB.1.5.23 XBB.1.5.24 FH.1 XBB.1.5.73 XBB.1.5.8 XBL XBL.2 XBB.1.11 XBB.1.11.1 XBB.1.5.67	0.16271318 0.16271318 0.15851694 0.15851694 0.15851694 0.01759886 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.01012089 0.00280684 0.00222580 0.00158022 0.00145143 0.00145143 0.00128748 0.00115030 0.00104076	4.6007078145352365	25.66632110490586	08-25-23-A4-1	2023-08-25	042023_21	2023-04-21	greensboro - north buffalo
042023_20	[('Omicron', 0.9867307035583137), ('Other', 0.0035044744781894278)]	XBB.1.5.39 XBB.1.5.63 XBB.1.5.12 XBB.1.5.40 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.14 XBB.1.5.28 FG.3 XBB.1.5.86 XBB.1.5.36 XBB.1.5.11 XBB.1.5.7 XBB.1.5.59 XBB.1.5.16 XBB.1.5.32 XBB.1.5 XBB.1.5.6 XBB.1.5.25 XBB.1.5.49 XBB.1.5.81 XBB.1.5.31 XBB.1.5.57 XBB.1.5.73 B.1.1.322 BA.2.3.21 XBB.1.44 XBB.1.10 B.1.190 XBB.1.5.8	0.33333300 0.12484096 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.02344792 0.00421424 0.00239743 0.00209746 0.00164512 0.00162810 0.00157233 0.00140702 0.00124524	3.908254879426126	15.466675584389526	08-25-23-A4-1	2023-08-25	042023_20	2023-04-21	fayetteville - rockfish
041723_21	[('Omicron', 0.992706256200519)]	FY.1.1 FY.3 FY.1 XBB.1.22.1 XBB.1.22 XBB.1.9 FY.5 XBB.1.23	0.18475029 0.18475029 0.18475029 0.18475029 0.18475029 0.06581604 0.00183457 0.00130421	3.4381014756522323	17.32602080058857	08-25-23-A4-1	2023-08-25	041723_21	2023-04-18	greensboro - north buffalo
041723_20	[('Omicron', 0.9910989383365402)]	FL.5 XBB.1.5.54 XBB.1.5.73 XBB.1.5.14 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.12 XBB.1.5.86 GF.1 XBB.1.5.11 XBB.1.5.52 XBB.1.5.16 XBB.1.11.1 XBB.1.5 XBB.1.5.69 XBB.1.5.36 XBB.1.5.32 XBB.1.5.19 XBB.1.5.60 XBB.1.43.1 XBB.1.5.24 FG.2 XBB.1.5.56 XBB.1.5.49 XBB.1.5.84 XBB.1.5.25 XBB.1.5.6 XBB.1.5.61 XBB.1.5.55 XBB.1.22.1 XBB.1.22 FY.3 XBB.1.11 XBB.1.37 XBB.1.43 XBB.1.45 XBB.1.38 XBB.1.18 XBB.1.9 XBB.1.9.3 GR.1 FH.1 BA.2.3.6 EG.3 CJ.1.3 XBB.1.5.79 XBB.1.13 XBB.1.5.37 BA.2.12.1	0.08333330 0.06666670 0.03708174 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.02499238 0.01795427 0.01795427 0.01795427 0.00769956 0.00769956 0.00769956 0.00769956 0.00769956 0.00769956 0.00682906 0.00682906 0.00280621 0.00227273 0.00186435 0.00183683 0.00159512 0.00140130 0.00139276 0.00130321 0.00103199	1.2480103454526397	13.861485469685316	08-25-23-A4-1	2023-08-25	041723_20	2023-04-18	fayetteville - rockfish
041323_21	[('Omicron', 0.9796988682039529)]	XBB.1.5.24 XBB.1.38 XBB.1.45 XBB.1.9.1 FL.6 FL.16 FL.2 FL.12 XBB.1.25 FL.1 XBB.1.5.36 XBB.1.5.52 XBB.1.5.55 XBB.1.5.11 XBB.1.5.18 XBB.1.5.86 XBB.1.5.12 XBB.1.5.16 XBB.1.5.30 XBB.1.5.2 XBB.1.5 XBB.1.5.56 EM.1 XBB.1.5.61 XBB.1.5.6 XBB.1.5.84 XBB.1.5.19 XBB.1.5.49 FG.2 XBB.1.5.60 XBB.1.5.7 XBB.1.5.14 XBB.1.4.1 XBB.1.5.57 XBB.1.5.44 GR.1 XBB.1.10 XBB.1.5.73 XBB.1.5.47 XBB.1.35 XBB.1.39 FY.2 XBB.1.5.8 XBB.1.5.79 XBB.1.5.66	0.58881546 0.02294520 0.02294520 0.01915573 0.01915573 0.01915573 0.01915573 0.01915573 0.01121540 0.00940000 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00925231 0.00340874 0.00284936 0.00270149 0.00235707 0.00225577 0.00205773 0.00202208 0.00166767 0.00125423 0.00117986 0.00116567 0.00109782 0.00103072	7.357101830141948	53.58325251646992	08-25-23-A4-1	2023-08-25	041323_21	2023-04-14	greensboro - north buffalo
041323_20	[('Omicron', 0.9925697729953544)]	XBB.1.5.84 XBB.1.5.49 XBB.1.5.81 XBB.1.5.19 XBB.1.5.60 XBB.1.5.32 XBB.1.5.6 FP.3 XBB.1.5.44 XBB.1.44 XBB.1.5.79	0.13963652 0.13963652 0.13963652 0.13963652 0.13963652 0.13963652 0.13963652 0.00764911 0.00443692 0.00199377 0.00103436	2.1443834065182403	15.817810921981073	08-25-23-A4-1	2023-08-25	041323_20	2023-04-14	fayetteville - rockfish
041023_21	[('Omicron', 0.9901070789206307)]	XBB.1.5.10	0.99010708	6.761760386018889	73.58459017489884	08-25-23-A4-1	2023-08-25	041023_21	2023-04-11	greensboro - north buffalo
