	summarized	lineages	abundances	resid	coverage
Mixture07	[('Omicron', 0.5289868258551175), ('Alpha', 0.1695028559086472), ('Iota', 0.12800120964337544), ('Gamma', 0.08856340372015971), ('Other', 0.01680850812931476)]	BA.4.1 B.1.1.7 B.1.526 BF.1 BG.5 P.1.10 BA.5.5 P.1 P.1.13 B.1.1.28 P.1.7 B.1.1.357 B.1.1.89 BA.5.3.2 DH.1 P.1.14 B.1.1.461 B.1.1.328 B.1.1.382 B.1.1.153 BF.15 B.1.1.448	0.31643750 0.16950286 0.12800121 0.09263665 0.06849090 0.06720657 0.04692179 0.00961530 0.00578172 0.00528211 0.00458807 0.00376370 0.00188324 0.00181518 0.00158556 0.00137174 0.00133251 0.00123950 0.00111982 0.00111309 0.00109925 0.00107453	12.079893251442636	95.25800086947798
Mixture17	[('Iota', 0.9855644798608025)]	B.1.526	0.98556448	5.329882065815452	93.43878540614654
Mixture18	[('Delta', 0.9848493099795431)]	AY.19 AY.40	0.98350316 0.00134615	9.638653020545348	95.29478647627329
Mixture30	[('Omicron', 0.9594351603379274)]	BA.4.1 BF.1 BG.5 BA.2.87 BA.2.12.1 BA.5 BA.2 BA.2.27 BF.15 BA.5.3.2 BA.2.34 BA.2.85	0.48894959 0.18943381 0.09272754 0.07252811 0.06123596 0.02184293 0.02152232 0.00571813 0.00162526 0.00147667 0.00128750 0.00108735	7.991421258938791	95.34494866735778
Mixture22	[('Omicron', 0.9886309798563251)]	BG.5	0.98863098	8.46212928969494	94.54235361000569
Mixture32	[('Omicron', 0.5474635567526719), ('Other', 0.1546226182018706), ('Alpha', 0.13206303898682864), ('Iota', 0.1005520584970741)]	BA.4.1 B.1.1.161 B.1.1.7 B.1.526 BF.1 BG.5 B.1.1.529 BA.2 BA.1.9 BA.2.23 BA.1 BA.1.17.2 XQ B.1.1.89 BA.2.27 B.1.1.328 B.1.1.461 XAR B.1.1.153 BA.1.2 DH.1 B.3	0.22229888 0.14454144 0.13206304 0.10055206 0.08861617 0.08687546 0.04408026 0.03833170 0.01861147 0.01750575 0.01169218 0.00938409 0.00339938 0.00296835 0.00229391 0.00227211 0.00225557 0.00211416 0.00147526 0.00113780 0.00112235 0.00110988	10.996567938303173	96.32812761261413
Mixture41	[('Omicron', 0.9851596783090238)]	BA.4.1 BA.4	0.87726342 0.10789625	7.198512053629162	93.95712804735311
Mixture36	[('Iota', 0.9842724133043096)]	B.1.526	0.98427241	5.161801516481025	93.40199979935123
Mixture35	[('Gamma', 0.9912396592844206)]	P.1.10 P.1.13 P.1	0.97330070 0.01003313 0.00790583	4.900365842690057	94.24472460957095
Mixture21	[('Other', 0.9876083380732565)]	B.20 B B.3	0.49281895 0.49281895 0.00197044	2.9230491898270423	94.44537337390898
Mixture28	[('Omicron', 0.9763657482926921)]	BA.2.87 BA.2 BA.2.27 BA.3 BA.2.32 BA.2.46 BA.2.18	0.94343009 0.02358432 0.00332712 0.00180739 0.00173060 0.00128072 0.00120551	6.9798850664033605	94.52228873357188
Mixture33	[('Other', 0.9882910102252974)]	B B.27	0.98692177 0.00136924	2.7901548823497673	94.42865264354747
