	summarized	lineages	abundances	resid	coverage
Mixture26	[('Omicron', 0.9382999999999999), ('Other', 0.040799999999999996), ('Beta', 0.0049), ('Delta', 0.0036999999999999997), ('Theta', 0.0025), ('Alpha', 0.0021), ('Gamma', 0.0018), ('Eta', 0.0017), ('Kappa', 0.0016), ('Mu', 0.0015), ('A', 0.0007), ('Lambda', 0.0005)]	BA.4 BA.2 XE XD BA.5 BA.2.75 B.1.351 AV.1 B.1.617.3 BA.3 AY.4.2 CH.1.1 P.3 B.1.1.7 BA.2.86 P.1 B.1.525 B.1.617.1 BA.1 B.1.621 XBB.1.16 B.1.623 B.1.617.2 EG.5.1 B.1.1.318 A.23.1 C.36.3 C.37 BA.4.6 XBB XBB.1.5 Other	0.5326 0.2779 0.0939 0.0277 0.0155 0.0057 0.0049 0.0049 0.0038 0.0036 0.0029 0.0026 0.0025 0.0021 0.002 0.0018 0.0017 0.0016 0.0015 0.0015 0.0013 0.001 0.0008 0.0008 0.0007 0.0007 0.0005 0.0005 0.0004 0.0004 0.0001 0.0022		
Mixture27	[('Omicron', 0.9514999999999999), ('Other', 0.0235), ('Theta', 0.005), ('Beta', 0.0044), ('Eta', 0.0034), ('Kappa', 0.003), ('Delta', 0.0024000000000000002), ('Alpha', 0.0024), ('Mu', 0.002), ('A', 0.0008), ('Lambda', 0.0005), ('Gamma', 0.0005), ('Zeta', 0.0003)]	BA.4 BA.2 XE BA.2.75 BA.5 XD AV.1 P.3 BA.3 B.1.351 B.1.617.3 B.1.525 CH.1.1 B.1.617.1 B.1.1.318 B.1.1.7 B.1.623 B.1.621 AY.4.2 XBB.1.16 XBB EG.5.1 BA.2.86 B.1.617.2 A.23.1 BA.1 C.37 C.36.3 P.1 BA.4.6 P.2 BQ.1 XBB.1.5 Other	0.5638 0.2751 0.0745 0.0133 0.0107 0.0069 0.0055 0.005 0.0048 0.0044 0.0036 0.0034 0.003 0.003 0.0025 0.0024 0.0021 0.002 0.0016 0.0015 0.0014 0.0012 0.0008 0.0008 0.0008 0.0007 0.0005 0.0005 0.0005 0.0004 0.0003 0.0002 0.0001 0.0024		
Mixture28	[('Omicron', 0.9326), ('Other', 0.0326), ('Beta', 0.0081), ('Delta', 0.0070999999999999995), ('Eta', 0.0036), ('Alpha', 0.0033), ('Theta', 0.0029), ('Gamma', 0.0023), ('Mu', 0.0023), ('Zeta', 0.0017), ('A', 0.0015), ('Kappa', 0.0011), ('Lambda', 0.001)]	BA.2 XE XD BA.3 B.1.351 BA.2.75 AV.1 B.1.617.3 AY.4.2 B.1.525 BA.5 EG.5.1 B.1.1.7 P.3 XBB.1.16 B.1.623 B.1.617.2 BA.2.86 BA.4 P.1 B.1.621 CH.1.1 BA.4.6 B.1.1.318 P.2 XBB BA.1 A.23.1 BQ.1 B.1.617.1 C.37 XBB.1.5 C.36.3 Other	0.864 0.028 0.0129 0.0097 0.0081 0.0066 0.0059 0.0057 0.0045 0.0036 0.0036 0.0035 0.0033 0.0029 0.0029 0.0028 0.0026 0.0026 0.0025 0.0023 0.0023 0.0022 0.0022 0.0019 0.0017 0.0017 0.0015 0.0015 0.0012 0.0011 0.001 0.0004 0.0001 0.0033		
Mixture29	[('Omicron', 0.9424), ('Other', 0.0268), ('Theta', 0.0074), ('Beta', 0.0068), ('A', 0.0032), ('Eta', 0.003), ('Mu', 0.0024), ('Alpha', 0.0021), ('Gamma', 0.0017), ('Delta', 0.0017), ('Kappa', 0.0015), ('Zeta', 0.0008)]	BA.2 BA.4 XE BA.5 BA.3 P.3 B.1.351 AV.1 XD B.1.617.3 B.1.623 BA.2.75 A.23.1 B.1.525 CH.1.1 B.1.1.318 B.1.621 B.1.1.7 P.1 B.1.617.1 AY.4.2 EG.5.1 C.36.3 XBB.1.16 BA.2.86 P.2 BA.1 XBB.1.5 BA.4.6 XBB B.1.617.2 Other	0.4816 0.2867 0.1027 0.0454 0.0141 0.0074 0.0068 0.006 0.0058 0.0053 0.004 0.0037 0.0032 0.003 0.0027 0.0024 0.0024 0.0021 0.0017 0.0015 0.0014 0.0013 0.0011 0.001 0.001 0.0008 0.0007 0.0007 0.0004 0.0004 0.0003 0.0022		
Mixture30	[('Omicron', 0.9460999999999999), ('Other', 0.024700000000000003), ('Beta', 0.0059), ('Theta', 0.0055), ('Delta', 0.0040999999999999995), ('Eta', 0.0029), ('Alpha', 0.0028), ('Mu', 0.0021), ('Gamma', 0.002), ('Lambda', 0.0013), ('Kappa', 0.0011), ('A', 0.0006), ('Zeta', 0.0005)]	BA.2 BA.4 BA.5 XE XD BA.2.75 CH.1.1 B.1.351 P.3 AV.1 BA.3 XBB B.1.617.3 BA.2.86 B.1.525 B.1.1.7 B.1.623 AY.4.2 B.1.621 P.1 XBB.1.16 B.1.617.2 BA.4.6 XBB.1.5 EG.5.1 C.37 B.1.617.1 B.1.1.318 BA.1 A.23.1 P.2 C.36.3 Other	0.5699 0.1717 0.0948 0.0767 0.0087 0.0072 0.0068 0.0059 0.0055 0.0048 0.0044 0.004 0.0038 0.0037 0.0029 0.0028 0.0026 0.0024 0.0021 0.002 0.0017 0.0017 0.0017 0.0015 0.0014 0.0013 0.0011 0.0011 0.0006 0.0006 0.0005 0.0003 0.0034		
Mixture31	[('Omicron', 0.5462), ('Other', 0.1952), ('Gamma', 0.0662), ('Delta', 0.0637), ('Beta', 0.037), ('Alpha', 0.0272), ('Kappa', 0.0158), ('Mu', 0.0143), ('Theta', 0.0089), ('Lambda', 0.0082), ('Eta', 0.0077), ('Zeta', 0.0068), ('A', 0.0029)]	BA.1 P.1 BA.2 B.1.617.2 B.1.351 XD B.1.1.7 BA.3 AY.4.2 B.1.617.1 B.1.621 AV.1 XBB.1.5 B.1.1.318 BA.5 P.3 B.1.617.3 C.37 CH.1.1 B.1.525 EG.5.1 XBB.1.16 P.2 BA.4.6 B.1.623 BA.2.75 BA.2.86 C.36.3 BA.4 A.23.1 XBB BQ.1 XE Other	0.4006 0.0662 0.0551 0.0459 0.037 0.0296 0.0272 0.0197 0.0178 0.0158 0.0143 0.0113 0.0111 0.0109 0.0095 0.0089 0.0087 0.0082 0.0077 0.0077 0.0073 0.0071 0.0068 0.0067 0.0065 0.0064 0.0052 0.0035 0.0031 0.0029 0.0029 0.0022 0.0016 0.1247		
Mixture32	[('Omicron', 0.8245), ('Other', 0.0766), ('Alpha', 0.0259), ('Beta', 0.0209), ('Theta', 0.0109), ('Delta', 0.0096), ('Mu', 0.0076), ('Eta', 0.007), ('Gamma', 0.0057), ('Lambda', 0.0038), ('A', 0.0031), ('Zeta', 0.0028), ('Kappa', 0.0016)]	BA.1 BA.2 BA.4 BA.3 XE BA.5 B.1.1.7 B.1.351 XD P.3 AV.1 BA.2.75 B.1.621 B.1.525 B.1.623 P.1 XBB.1.16 B.1.1.318 B.1.617.2 AY.4.2 XBB XBB.1.5 BA.4.6 C.37 BA.2.86 B.1.617.3 EG.5.1 A.23.1 P.2 B.1.617.1 CH.1.1 C.36.3 BQ.1 Other	0.3234 0.2264 0.1228 0.0497 0.0369 0.0278 0.0259 0.0209 0.0177 0.0109 0.0104 0.0095 0.0076 0.007 0.0066 0.0057 0.0057 0.0048 0.0048 0.0048 0.0047 0.0045 0.0042 0.0038 0.0038 0.0036 0.0033 0.0031 0.0028 0.0016 0.0015 0.0006 0.0003 0.0329		
Mixture33	[('Other', 0.7553), ('Omicron', 0.18810000000000002), ('Delta', 0.0239), ('Eta', 0.0079), ('Beta', 0.0054), ('Gamma', 0.0044), ('Theta', 0.0039), ('Zeta', 0.0031), ('Alpha', 0.0027), ('Kappa', 0.0017), ('Mu', 0.0015), ('A', 0.0013), ('Lambda', 0.001)]	XBB.1.5 BQ.1 AY.4.2 BA.5 BA.4.6 BA.2.86 CH.1.1 AV.1 B.1.525 EG.5.1 XBB.1.16 BA.4 BA.2.75 XD BA.3 B.1.351 B.1.617.3 P.1 P.3 BA.1 XE B.1.623 P.2 B.1.1.7 B.1.617.2 XBB B.1.617.1 B.1.621 B.1.1.318 A.23.1 BA.2 C.37 C.36.3 Other	0.0718 0.022 0.0217 0.0166 0.0161 0.0108 0.0093 0.0079 0.0079 0.0066 0.0065 0.0065 0.0061 0.006 0.0054 0.0054 0.005 0.0044 0.0039 0.0038 0.0035 0.0034 0.0031 0.0027 0.0022 0.0019 0.0017 0.0015 0.0013 0.0013 0.0012 0.001 0.0008 0.7309		
Mixture34	[('Other', 0.4651), ('Alpha', 0.436), ('Omicron', 0.06080000000000001), ('Delta', 0.0119), ('Eta', 0.0044), ('Beta', 0.0043), ('Gamma', 0.0042), ('Mu', 0.0033), ('Theta', 0.003), ('Kappa', 0.0021), ('A', 0.0018), ('Zeta', 0.0017), ('Lambda', 0.0012)]	B.1.1.7 BA.3 AY.4.2 BA.5 XD AV.1 BA.2.75 EG.5.1 BA.4.6 BA.4 B.1.525 B.1.617.3 B.1.351 P.1 BA.2.86 B.1.621 P.3 CH.1.1 BA.1 XE B.1.623 XBB.1.16 B.1.1.318 B.1.617.1 XBB.1.5 A.23.1 P.2 XBB BQ.1 C.37 C.36.3 B.1.617.2 BA.2 Other	0.436 0.0142 0.0108 0.0077 0.0069 0.006 0.0056 0.0048 0.0045 0.0044 0.0044 0.0044 0.0043 0.0042 0.0034 0.0033 0.003 0.003 0.0029 0.0028 0.0026 0.0025 0.0022 0.0021 0.002 0.0018 0.0017 0.0016 0.0013 0.0012 0.0011 0.0011 0.0001 0.4419		
Mixture35	[('Gamma', 0.9075), ('Omicron', 0.048100000000000004), ('Other', 0.018600000000000002), ('Delta', 0.0064), ('Mu', 0.0044), ('Theta', 0.0037), ('Eta', 0.0032), ('Beta', 0.0024), ('Kappa', 0.0023), ('Alpha', 0.002), ('Lambda', 0.0008), ('A', 0.0004), ('Zeta', 0.0004)]	P.1 BA.3 BA.2.75 BA.5 AV.1 BA.4.6 AY.4.2 XD B.1.621 XE P.3 B.1.525 BA.2.86 B.1.617.3 BA.1 EG.5.1 B.1.351 B.1.617.1 CH.1.1 XBB.1.16 B.1.1.7 B.1.1.318 XBB BA.4 B.1.617.2 BA.2 C.37 B.1.623 A.23.1 BQ.1 P.2 XBB.1.5 C.36.3 Other	0.9075 0.0077 0.0072 0.0069 0.0058 0.0054 0.0053 0.0049 0.0044 0.0041 0.0037 0.0032 0.0029 0.0028 0.0027 0.0026 0.0024 0.0023 0.0021 0.002 0.002 0.0019 0.0015 0.0013 0.0011 0.001 0.0008 0.0008 0.0004 0.0004 0.0004 0.0003 0.0003 0.0021		
