	summarized	lineages	abundances	resid	coverage
Mixture23	[('Omicron', 0.9564), ('Other', 0.0245), ('Zeta', 0.0052), ('Delta', 0.0034), ('Theta', 0.0026), ('Alpha', 0.002), ('Beta', 0.0013), ('Eta', 0.0012), ('Lambda', 0.0012), ('Gamma', 0.0007), ('Mu', 0.0007), ('Kappa', 0.0005), ('A', 0.0003)]	BA.2.12.1 BA.1 B.1.1 P.2 B.1.617.2 P.3 B.1.1.7 B.1.177 AV.1 B.1.351 B.1.525 C.37 B.1.623 B.1.1.318 BA.5 P.1 B.1.621 B.1.617.1 B.1.617.3 A.23.1 Other	0.9365 0.0191 0.0107 0.0052 0.0034 0.0026 0.002 0.0015 0.0015 0.0013 0.0012 0.0012 0.0011 0.0008 0.0008 0.0007 0.0007 0.0005 0.0004 0.0003 0.0085		
Mixture24	[('Omicron', 0.951), ('Lambda', 0.0286), ('Other', 0.0095), ('Beta', 0.0031), ('Theta', 0.0024), ('Eta', 0.0013), ('Alpha', 0.0013), ('Delta', 0.0012), ('Kappa', 0.0009), ('Mu', 0.0005), ('Gamma', 0.0002)]	BA.5 C.37 BA.1 AV.1 BA.2 B.1.351 P.3 BA.3 B.1.525 B.1.1.318 B.1.1.7 B.1.617.2 B.1.617.1 B.1.623 B.1.621 B.1.617.3 B.1.177 P.1 Other	0.9305 0.0286 0.0144 0.0065 0.0047 0.0031 0.0024 0.0014 0.0013 0.0013 0.0013 0.0012 0.0009 0.0009 0.0005 0.0005 0.0003 0.0002 -0.0		
Mixture25	[('Omicron', 0.9759), ('Lambda', 0.0123), ('Other', 0.004), ('Delta', 0.0022), ('Beta', 0.0021), ('Theta', 0.0012), ('Eta', 0.0007), ('Alpha', 0.0007), ('Kappa', 0.0005), ('Mu', 0.0003), ('Zeta', 0.0002)]	BA.5 BA.1 C.37 AV.1 B.1.617.2 B.1.351 P.3 BA.2.12.1 B.1.525 B.1.1.7 B.1.623 B.1.617.1 B.1.621 P.2 Other	0.9472 0.0277 0.0123 0.0034 0.0022 0.0021 0.0012 0.001 0.0007 0.0007 0.0005 0.0005 0.0003 0.0002 0.0001		
Mixture26	[('Omicron', 0.9671999999999998), ('Other', 0.020000000000000004), ('Beta', 0.0059), ('Delta', 0.0018), ('Mu', 0.0011), ('Zeta', 0.001), ('Eta', 0.0009), ('Theta', 0.0007), ('Alpha', 0.0006), ('A', 0.0004), ('Gamma', 0.0003), ('Kappa', 0.0003)]	BA.4 BA.1 B.1.1 B.1.351 BA.2 BA.5 AV.1 B.1.617.2 B.1.621 P.2 B.1.525 B.1.623 P.3 B.1.1.7 429 A.23.1 B.1.177 B.1.617.3 P.1 B.1.617.1 Other	0.9299 0.0294 0.013 0.0059 0.0045 0.0034 0.0023 0.0018 0.0011 0.001 0.0009 0.0009 0.0007 0.0006 0.0005 0.0004 0.0004 0.0003 0.0003 0.0003 0.0026		
Mixture27	[('Omicron', 0.9749), ('Other', 0.011899999999999999), ('Eta', 0.0027), ('Beta', 0.0024), ('Mu', 0.0022), ('Delta', 0.0018), ('Alpha', 0.0016), ('Theta', 0.0016), ('A', 0.0004), ('Gamma', 0.0003), ('Kappa', 0.0002)]	BA.4 BA.1 B.1.623 BA.2 B.1.525 B.1.351 B.1.621 B.1.617.2 B.1.1.7 P.3 B.1.177 AV.1 A.23.1 P.1 B.1.617.1 Other	0.9559 0.0162 0.0036 0.0028 0.0027 0.0024 0.0022 0.0018 0.0016 0.0016 0.0009 0.0009 0.0004 0.0003 0.0002 0.0065		
Mixture28	[('Omicron', 0.9742999999999999), ('Other', 0.0116), ('Lambda', 0.0027), ('Alpha', 0.0026), ('Delta', 0.002), ('Beta', 0.0017), ('Theta', 0.0017), ('Eta', 0.0015), ('A', 0.001), ('Mu', 0.0007), ('Kappa', 0.0002), ('Gamma', 0.0002)]	BA.2 BA.4 BA.3 AV.1 BA.1 BA.5 C.37 B.1.1.7 B.1.617.2 B.1.351 P.3 B.1.525 BA.2.12.1 B.1.1.318 A.23.1 B.1.623 B.1.621 B.1.617.1 P.1 429 B.1.617.3 Other	0.7965 0.1219 0.0362 0.0095 0.0095 0.0087 0.0027 0.0026 0.002 0.0017 0.0017 0.0015 0.0015 0.001 0.001 0.0007 0.0007 0.0002 0.0002 0.0002 0.0002 -0.0		
Mixture29	[('Omicron', 0.9644), ('Other', 0.0213), ('Lambda', 0.0085), ('Delta', 0.0011), ('Alpha', 0.0009), ('Mu', 0.0008), ('Beta', 0.0007), ('Eta', 0.0005), ('A', 0.0005), ('Theta', 0.0005), ('Kappa', 0.0004), ('Zeta', 0.0003)]	BA.4 BA.2 BA.2.12.1 BA.5 BA.1 AV.1 C.37 B.1.617.2 B.1.1.7 B.1.621 B.1.351 B.1.1.318 B.1.623 B.1.525 A.23.1 P.3 B.1.617.1 P.2 Other	0.5311 0.2155 0.1379 0.0544 0.0255 0.0199 0.0085 0.0011 0.0009 0.0008 0.0007 0.0007 0.0007 0.0005 0.0005 0.0005 0.0004 0.0003 -0.0		
Mixture30	[('Omicron', 0.9891), ('Alpha', 0.0031), ('Other', 0.0022), ('Theta', 0.0016), ('Delta', 0.001), ('Zeta', 0.0008), ('Kappa', 0.0006), ('Eta', 0.0004), ('Gamma', 0.0004), ('A', 0.0004), ('Mu', 0.0003)]	BA.4 BA.2 BA.5 BA.2.12.1 BA.1 B.1.1.7 AV.1 P.3 B.1.617.2 P.2 B.1.617.1 B.1.525 P.1 A.23.1 429 B.1.621 Other	0.3944 0.2283 0.2251 0.1248 0.0165 0.0031 0.0019 0.0016 0.001 0.0008 0.0006 0.0004 0.0004 0.0004 0.0003 0.0003 0.0		
Mixture31	[('Other', 0.38239999999999996), ('Iota', 0.2032), ('Alpha', 0.1336), ('Delta', 0.0821), ('Gamma', 0.0813), ('Omicron', 0.06590000000000001), ('Beta', 0.0451), ('Mu', 0.0027), ('Eta', 0.0022), ('A', 0.0009), ('Lambda', 0.0004)]	B.1.526 B.1.1.7 B.1.617.2 P.1 BA.1 B.1.351 B.1.177 B.1.621 B.1.525 B.1.1.318 B.1.623 AV.1 429 BA.2.12.1 BA.5 B.1.617.3 A.23.1 C.37 Other	0.2032 0.1336 0.0821 0.0813 0.0637 0.0451 0.0036 0.0027 0.0022 0.0021 0.0015 0.0014 0.0012 0.0012 0.001 0.001 0.0009 0.0004 0.3716		
Mixture32	[('Other', 0.39490000000000003), ('Omicron', 0.3865), ('Iota', 0.1373), ('Alpha', 0.0688), ('Delta', 0.0054), ('Theta', 0.0017), ('Mu', 0.0016), ('Eta', 0.0015), ('Kappa', 0.0008), ('A', 0.0007), ('Lambda', 0.0005), ('Gamma', 0.0004)]	B.1.1 BA.4 B.1.526 BA.1 B.1.1.7 BA.2.12.1 BA.5 BA.3 B.1.617.2 B.1.623 BA.2 B.1.1.318 B.1.177 P.3 B.1.621 B.1.525 B.1.617.1 A.23.1 AV.1 C.37 P.1 B.1.617.3 Other	0.3105 0.224 0.1373 0.0699 0.0688 0.0629 0.0138 0.0119 0.0054 0.0046 0.004 0.0031 0.0018 0.0017 0.0016 0.0015 0.0008 0.0007 0.0005 0.0005 0.0004 0.0004 0.074		
