	summarized	lineages	abundances	resid	coverage
Mixture31	[('Other', 0.6084), ('Alpha', 0.1388), ('Gamma', 0.1188), ('Omicron', 0.0648), ('Delta', 0.0254), ('Iota', 0.0221), ('Beta', 0.0092), ('Eta', 0.0034), ('Zeta', 0.0032), ('Kappa', 0.0023), ('Theta', 0.0015), ('Mu', 0.0012), ('Lambda', 0.0008)]	B.1.1.7 P.1 B.1 B.1.1 BA.1 B.1.617.2 B.1.526 B.1.617.3 B.1.351 B.1.525 P.2 BA.5 B.1.617.1 P.3 B.1.177 B.1.621 B.1.623 C.37 AV.1 Other	0.1388 0.1188 0.1162 0.0788 0.0623 0.0254 0.0221 0.0193 0.0092 0.0034 0.0032 0.0025 0.0023 0.0015 0.0012 0.0012 0.0008 0.0008 0.0005 0.3916		
Mixture32	[('Omicron', 0.47740000000000005), ('Other', 0.33109999999999995), ('Alpha', 0.1219), ('Iota', 0.0485), ('Delta', 0.0064), ('Beta', 0.0055), ('Mu', 0.0042), ('Eta', 0.002), ('Theta', 0.0018), ('Lambda', 0.0009), ('Gamma', 0.0003), ('Kappa', 0.0002)]	B.1.1 BA.4 B.1.1.7 BA.2.12.1 BA.1 BA.3 BA.5 B.1.526 B.1.617.2 B.1.351 B.1.621 B.1.1.318 B.1.623 B.1.525 P.3 AV.1 C.37 B.1.617.3 B.1 P.1 B.1.617.1 Other	0.1828 0.166 0.1219 0.0929 0.0917 0.0695 0.0573 0.0485 0.0064 0.0055 0.0042 0.0039 0.0029 0.002 0.0018 0.0011 0.0009 0.0006 0.0005 0.0003 0.0002 0.1393		
Mixture33	[('Other', 0.9813), ('Omicron', 0.0121), ('Eta', 0.0016), ('Delta', 0.0015), ('Kappa', 0.001), ('Alpha', 0.0006), ('Beta', 0.0004), ('Lambda', 0.0003), ('Mu', 0.0003), ('Theta', 0.0003), ('A', 0.0003), ('Gamma', 0.0001)]	BA.1 B.1.525 B.1.617.2 B.1.617.1 BA.5 B.1.617.3 AV.1 B.1.1.7 B.1.623 B.1.351 C.37 B.1.621 P.3 A.23.1 P.1 Other	0.0112 0.0016 0.0015 0.001 0.0009 0.0008 0.0008 0.0006 0.0005 0.0004 0.0003 0.0003 0.0003 0.0003 0.0001 0.9792		
Mixture34	[('Alpha', 0.9417), ('Other', 0.0382), ('Omicron', 0.0094), ('Eta', 0.0031), ('Beta', 0.0016), ('Mu', 0.0015), ('Kappa', 0.0011), ('Delta', 0.001), ('Lambda', 0.0006), ('Theta', 0.0005), ('Gamma', 0.0004), ('Iota', 0.0003), ('Zeta', 0.0003)]	B.1.1.7 AV.1 BA.1 B.1.525 B.1.351 B.1.621 B.1.617.1 B.1.617.2 B.1.1.318 BA.4 B.1.177 C.37 BA.3 P.3 P.1 B.1.526 B.1.623 P.2 Other	0.9417 0.0363 0.0082 0.0031 0.0016 0.0015 0.0011 0.001 0.0009 0.0007 0.0007 0.0006 0.0005 0.0005 0.0004 0.0003 0.0003 0.0003 -0.0		
Mixture35	[('Gamma', 0.9667), ('Omicron', 0.012), ('Other', 0.008199999999999999), ('Delta', 0.0063), ('Lambda', 0.0017), ('Alpha', 0.0015), ('Eta', 0.0011), ('Beta', 0.0008), ('Mu', 0.0008), ('Theta', 0.0005), ('Kappa', 0.0005)]	P.1 BA.1 B.1.617.2 B.1.177 C.37 B.1.1.7 B.1.1.318 B.1.525 AV.1 B.1.351 BA.2.12.1 B.1.621 B.1.617.3 P.3 B.1.617.1 BA.5 Other	0.9667 0.0108 0.0063 0.0053 0.0017 0.0015 0.0012 0.0011 0.0009 0.0008 0.0008 0.0008 0.0007 0.0005 0.0005 0.0004 0.0001		
Mixture36	[('Iota', 0.7276), ('Beta', 0.1213), ('Other', 0.1148), ('Omicron', 0.011), ('Zeta', 0.0079), ('Eta', 0.0066), ('Delta', 0.0021), ('Mu', 0.0019), ('Gamma', 0.0017), ('Theta', 0.0017), ('Kappa', 0.0014), ('Lambda', 0.0012), ('A', 0.0004), ('Alpha', 0.0003)]	B.1.526 B.1.351 B.1 BA.1 P.2 B.1.525 B.1.177 B.1.1.318 B.1.617.2 B.1.621 P.1 P.3 B.1.617.1 429 C.37 B.1.617.3 AV.1 A.23.1 B.1.1.7 B.1.623 BA.5 BA.2.12.1 Other	0.7276 0.1213 0.1014 0.0107 0.0079 0.0066 0.0057 0.0047 0.0021 0.0019 0.0017 0.0017 0.0014 0.0013 0.0012 0.0008 0.0007 0.0004 0.0003 0.0002 0.0002 0.0001 -0.0		
Mixture37	[('Delta', 0.6672), ('Other', 0.27149999999999996), ('Iota', 0.045), ('Omicron', 0.0066), ('Beta', 0.004), ('Kappa', 0.0015), ('A', 0.0013), ('Theta', 0.0012), ('Eta', 0.0005), ('Mu', 0.0005), ('Gamma', 0.0003), ('Lambda', 0.0003)]	B.1.617.2 B.1.617.3 B.1.526 BA.1 B.1.351 B.1.617.1 A.23.1 B.1.623 P.3 B.1.1.318 AV.1 BA.5 B.1.525 B.1.621 P.1 C.37 BA.2.12.1 Other	0.6672 0.2557 0.045 0.0058 0.004 0.0015 0.0013 0.0012 0.0012 0.0011 0.0008 0.0005 0.0005 0.0005 0.0003 0.0003 0.0003 0.0127		
Mixture38	[('Omicron', 0.9219), ('Other', 0.06409999999999999), ('Beta', 0.0072), ('Alpha', 0.0016), ('Theta', 0.0015), ('Eta', 0.0014), ('Gamma', 0.0009), ('Delta', 0.0007), ('Lambda', 0.0004), ('Mu', 0.0003), ('Kappa', 0.0002)]	BA.1 B.1.1 BA.3 B.1.177 B.1.351 AV.1 B.1.1.318 B.1.1.7 P.3 B.1.525 B.1.623 BA.5 P.1 B.1.617.2 C.37 B.1.621 B.1.617.3 B.1.617.1 Other	0.9011 0.0452 0.0198 0.0084 0.0072 0.0034 0.0031 0.0016 0.0015 0.0014 0.001 0.001 0.0009 0.0007 0.0004 0.0003 0.0003 0.0002 0.0027		
Mixture39	[('Omicron', 0.9476), ('Other', 0.034600000000000006), ('Theta', 0.0059), ('Delta', 0.0029), ('Beta', 0.0029), ('Eta', 0.0022), ('Lambda', 0.0014), ('Mu', 0.0009), ('Zeta', 0.0008), ('Gamma', 0.0004), ('Kappa', 0.0002), ('A', 0.0002)]	BA.2 B.1.1 BA.1 B.1.177 P.3 B.1.617.2 B.1.351 B.1.525 B.1.1.318 C.37 BA.2.12.1 BA.4 B.1.621 AV.1 P.2 B.1.623 B.1.617.3 P.1 B.1.617.1 A.23.1 Other	0.9264 0.0209 0.0191 0.0102 0.0059 0.0029 0.0029 0.0022 0.0015 0.0014 0.0011 0.001 0.0009 0.0008 0.0008 0.0006 0.0006 0.0004 0.0002 0.0002 0.0		
Mixture40	[('Omicron', 0.9857), ('Other', 0.0056), ('Lambda', 0.0034), ('Delta', 0.0015), ('Beta', 0.0013), ('Mu', 0.0008), ('Eta', 0.0006), ('Alpha', 0.0005), ('Kappa', 0.0003), ('Theta', 0.0002)]	BA.2.12.1 BA.4 BA.1 BA.5 C.37 B.1.177 B.1.617.2 B.1.351 B.1.621 B.1.623 B.1.525 B.1.1.318 B.1.1.7 B.1.617.1 P.3 B.1.617.3 Other	0.8166 0.1512 0.0143 0.0036 0.0034 0.002 0.0015 0.0013 0.0008 0.0006 0.0006 0.0006 0.0005 0.0003 0.0002 0.0002 0.0022		
Mixture41	[('Omicron', 0.9843999999999998), ('Other', 0.0036), ('Lambda', 0.0034), ('Beta', 0.0018), ('Delta', 0.0018), ('Theta', 0.0011), ('Alpha', 0.0011), ('Mu', 0.001), ('Eta', 0.001), ('A', 0.0003), ('Gamma', 0.0002), ('Kappa', 0.0001)]	BA.4 BA.1 BA.5 C.37 B.1.351 B.1.617.2 AV.1 P.3 B.1.1.7 BA.2.12.1 B.1.621 B.1.525 B.1.1.318 B.1.623 BA.3 A.23.1 P.1 B.1.617.1 Other	0.962 0.0176 0.0035 0.0034 0.0018 0.0018 0.0013 0.0011 0.0011 0.001 0.001 0.001 0.0006 0.0004 0.0003 0.0003 0.0002 0.0001 0.0013		
Mixture42	[('Omicron', 0.9541000000000001), ('Other', 0.0247), ('Lambda', 0.005), ('Theta', 0.0035), ('Beta', 0.0026), ('Delta', 0.0026), ('Eta', 0.0025), ('Mu', 0.0024), ('A', 0.0011), ('Iota', 0.0007), ('Kappa', 0.0005), ('Gamma', 0.0004)]	BA.5 B.1.1 BA.1 B.1.177 C.37 P.3 B.1.351 B.1.617.2 B.1.525 B.1.621 AV.1 A.23.1 BA.2.12.1 B.1.1.318 B.1.526 B.1.617.3 B.1.617.1 P.1 Other	0.9404 0.0134 0.0128 0.0081 0.005 0.0035 0.0026 0.0026 0.0025 0.0024 0.0018 0.0011 0.0009 0.0009 0.0007 0.0005 0.0005 0.0004 -0.0		
NFWA	[('Omicron', 0.7713), ('Other', 0.1637), ('Alpha', 0.065)]	BA.2 BA.4 B.1.1.7 B.1 B.1.1 Other	0.5915 0.1798 0.065 0.065 0.065 0.0337		
NFWC	[('Omicron', 0.5029), ('Other', 0.2368), ('Zeta', 0.0521), ('Mu', 0.0521), ('Alpha', 0.0521), ('Theta', 0.0521), ('Beta', 0.0521)]	BA.2 P.2 B.1.621 B.1.1.7 B.1 B.1.1 P.3 B.1.177 B.1.623 B.1.351 Other	0.5029 0.0521 0.0521 0.0521 0.0521 0.0521 0.0521 0.0521 0.0521 0.0521 0.0284		
