Sample name,lineages,abundances,scheme,expected_abundance,percent_of_expected,O/E,number_of_lineages_in_mixture
0agio1o2,BA.2.X,0.29962208000000007,Freyja,0.3125,95.87906560000002,0.9587906560000001,6
0agio1o2,BA.2.X,0.27988763999999994,Freyja,0.3125,89.56404479999998,0.8956404479999998,6
0aio1o2o3o4o5,BA.2.X,0.11296658999999999,Freyja,0.125,90.373272,0.90373272,8
0aio1o2o3o4o5,BA.2.X,0.07415906,Freyja,0.125,59.327248,0.59327248,8
0aio1o2o3o4o5,BA.2.X,0.05813136000000001,Freyja,0.125,46.50508800000001,0.46505088000000006,8
adgio1o2o3,BA.2.X,0.28841134000000007,Freyja,0.1875,153.81938133333338,1.5381938133333337,7
adgio1o2o3,BA.2.X,0.21952261999999997,Freyja,0.1875,117.07873066666666,1.1707873066666665,7
adgio1o2o3,BA.2.X,0.26586356999999994,Freyja,0.1875,141.79390399999997,1.4179390399999996,7
o1o2,BA.2.X,0.6979671500000001,Freyja,0.625,111.67474400000002,1.1167474400000001,2
o1o2,BA.2.X,0.7262236200000001,Freyja,0.625,116.19577920000002,1.1619577920000002,2
o1o2,BA.2.X,0.68370294,Freyja,0.625,109.3924704,1.093924704,2
o1o2o3o4o5,BA.2.X,0.21348283,Freyja,0.25,85.39313200000001,0.85393132,5
o1o2o3o4o5,BA.2.X,0.26739167,Freyja,0.25,106.95666800000001,1.06956668,5
o1o2o3o4o5,BA.2.X,0.22555888,Freyja,0.25,90.223552,0.90223552,5
o2-2,BA.2.X,0.97439427,Freyja,1.0,97.439427,0.9743942699999999,1
o2-2,BA.2.X,0.9758153900000002,Freyja,1.0,97.58153900000002,0.9758153900000002,1
o2-2,BA.2.X,0.9745583600000001,Freyja,1.0,97.455836,0.9745583600000001,1
o2-3,BA.2.X,0.9725073000000001,Freyja,1.0,97.25073,0.9725073000000001,1
o2-3,BA.2.X,0.97720627,Freyja,1.0,97.72062700000001,0.97720627,1
o2-3,BA.2.X,0.9743116999999999,Freyja,1.0,97.43117,0.9743116999999999,1
o2o3o4o5,BA.2.X,0.12619523,Freyja,0.25,50.478092,0.50478092,4
o2o3o4o5,BA.2.X,0.12009365,Freyja,0.25,48.037459999999996,0.4803746,4
o2o3o4o5,BA.2.X,0.23484032000000002,Freyja,0.25,93.93612800000001,0.9393612800000001,4
o2o3o4o5-2,BA.2.X,0.18026747000000007,Freyja,0.25,72.10698800000003,0.7210698800000003,4
o2o3o4o5-2,BA.2.X,0.26397612,Freyja,0.25,105.590448,1.05590448,4
o2o3o4o5-2,BA.2.X,0.17327346,Freyja,0.25,69.309384,0.69309384,4
o2o3o4o5-3,BA.2.X,0.17479946999999998,Freyja,0.25,69.919788,0.6991978799999999,4
o2o3o4o5-3,BA.2.X,0.35378464000000004,Freyja,0.25,141.513856,1.41513856,4
o2o3o4o5-3,BA.2.X,0.10214341,Freyja,0.25,40.857364000000004,0.40857364,4
0adgio1o2o3o4o5,BA.4.X,0.25691628,Freyja,0.13333333333333333,192.68721,1.9268721,10
0adgio1o2o3o4o5,BA.4.X,0.26995906999999997,Freyja,0.13333333333333333,202.4693025,2.024693025,10
0adgio1o2o3o4o5,BA.4.X,0.2725374,Freyja,0.13333333333333333,204.40304999999998,2.0440305,10
0aio1o2o3o4o5,BA.4.X,0.25370833,Freyja,0.125,202.96666399999998,2.02966664,8
0aio1o2o3o4o5,BA.4.X,0.24961175,Freyja,0.125,199.6894,1.9968940000000002,8
0aio1o2o3o4o5,BA.4.X,0.22229888,Freyja,0.125,177.839104,1.7783910399999998,8
0o5o3o4,BA.4.X,0.38821641,Freyja,0.1875,207.04875199999998,2.07048752,4
0o5o3o4,BA.4.X,0.31594405000000003,Freyja,0.1875,168.50349333333335,1.6850349333333334,4
0o5o3o4,BA.4.X,0.29357223,Freyja,0.1875,156.571856,1.5657185599999999,4
agio3o4o5,BA.4.X,0.36558318,Freyja,0.1875,194.977696,1.9497769600000001,6
agio3o4o5,BA.4.X,0.3164375,Freyja,0.1875,168.76666666666665,1.6876666666666664,6
agio3o4o5,BA.4.X,0.35535274,Freyja,0.1875,189.52146133333335,1.8952146133333334,6
o1o2o3o4o5,BA.4.X,0.23463959,Freyja,0.125,187.71167200000002,1.8771167200000003,5
o1o2o3o4o5,BA.4.X,0.33606777000000004,Freyja,0.125,268.854216,2.68854216,5
o1o2o3o4o5,BA.4.X,0.20690255,Freyja,0.125,165.52204,1.6552204000000001,5
o2o3o4o5,BA.4.X,0.34182995,Freyja,0.1875,182.30930666666666,1.8230930666666665,4
o2o3o4o5,BA.4.X,0.31650731,Freyja,0.1875,168.80389866666664,1.6880389866666663,4
o2o3o4o5,BA.4.X,0.39231121999999996,Freyja,0.1875,209.23265066666664,2.0923265066666663,4
o2o3o4o5-2,BA.4.X,0.39736975,Freyja,0.25,158.9479,1.589479,4
o2o3o4o5-2,BA.4.X,0.46694372,Freyja,0.25,186.777488,1.86777488,4
o2o3o4o5-2,BA.4.X,0.34263048,Freyja,0.25,137.05219200000002,1.3705219200000003,4
o2o3o4o5-3,BA.4.X,0.41875392000000006,Freyja,0.25,167.50156800000002,1.6750156800000002,4
o2o3o4o5-3,BA.4.X,0.48894959,Freyja,0.25,195.579836,1.95579836,4
o2o3o4o5-3,BA.4.X,0.31714201000000003,Freyja,0.25,126.85680400000001,1.2685680400000001,4
o4,BA.4.X,0.98584672,Freyja,1.0,98.584672,0.98584672,1
o4,BA.4.X,0.98683058,Freyja,1.0,98.683058,0.98683058,1
o4,BA.4.X,0.9818846099999999,Freyja,1.0,98.18846099999999,0.9818846099999999,1
o4-2,BA.4.X,0.98592435,Freyja,1.0,98.592435,0.9859243499999999,1
o4-2,BA.4.X,0.98808481,Freyja,1.0,98.808481,0.98808481,1
o4-2,BA.4.X,0.9833613799999998,Freyja,1.0,98.33613799999998,0.9833613799999997,1
o4-3,BA.4.X,0.98320465,Freyja,1.0,98.320465,0.98320465,1
o4-3,BA.4.X,0.9860769599999999,Freyja,1.0,98.60769599999999,0.9860769599999999,1
o4-3,BA.4.X,0.9863309299999999,Freyja,1.0,98.63309299999999,0.9863309299999998,1
0adgio1o2o3o4o5,BA.5.X,0.03755958,Freyja,0.13333333333333333,28.169685,0.28169685,10
0adgio1o2o3o4o5,BA.5.X,0.08164595,Freyja,0.13333333333333333,61.2344625,0.612344625,10
0adgio1o2o3o4o5,BA.5.X,0.10429353,Freyja,0.13333333333333333,78.2201475,0.7822014749999999,10
0aio1o2o3o4o5,BA.5.X,0.06389858000000001,Freyja,0.125,51.11886400000001,0.5111886400000001,8
0aio1o2o3o4o5,BA.5.X,0.043445630000000006,Freyja,0.125,34.75650400000001,0.34756504000000005,8
0aio1o2o3o4o5,BA.5.X,0.08861617,Freyja,0.125,70.89293599999999,0.70892936,8
0o5o3o4,BA.5.X,0.18398555,Freyja,0.25,73.59421999999999,0.7359421999999999,4
0o5o3o4,BA.5.X,0.06637628999999999,Freyja,0.25,26.550515999999995,0.26550515999999996,4
0o5o3o4,BA.5.X,0.12273632,Freyja,0.25,49.094528,0.49094528,4
agio3o4o5,BA.5.X,0.14247287,Freyja,0.1875,75.98553066666666,0.7598553066666667,6
agio3o4o5,BA.5.X,0.03447801,Freyja,0.1875,18.388272000000004,0.18388272000000006,6
agio3o4o5,BA.5.X,0.06349624000000001,Freyja,0.1875,33.86466133333334,0.3386466133333334,6
o1o2o3o4o5,BA.5.X,0.28623492,Freyja,0.25,114.493968,1.14493968,5
o1o2o3o4o5,BA.5.X,0.26157204,Freyja,0.25,104.628816,1.04628816,5
o1o2o3o4o5,BA.5.X,0.10134834999999999,Freyja,0.25,40.539339999999996,0.40539339999999996,5
o2o3o4o5,BA.5.X,0.11999481,Freyja,0.3125,38.398339199999995,0.383983392,4
o2o3o4o5,BA.5.X,0.32677885000000007,Freyja,0.3125,104.56923200000001,1.0456923200000001,4
o2o3o4o5,BA.5.X,0.31460988,Freyja,0.3125,100.67516160000001,1.006751616,4
o2o3o4o5-2,BA.5.X,0.19153317000000003,Freyja,0.25,76.613268,0.76613268,4
o2o3o4o5-2,BA.5.X,0.24571312,Freyja,0.25,98.285248,0.9828524799999999,4
o2o3o4o5-2,BA.5.X,0.09329511,Freyja,0.25,37.318044,0.37318044,4
o2o3o4o5-3,BA.5.X,0.20920492999999998,Freyja,0.25,83.68197199999999,0.8368197199999998,4
o2o3o4o5-3,BA.5.X,0.15897542,Freyja,0.25,63.590168000000006,0.63590168,4
o2o3o4o5-3,BA.5.X,0.21437867000000002,Freyja,0.25,85.751468,0.85751468,4
o5,BA.5.X,0.9745028599999999,Freyja,1.0,97.45028599999999,0.9745028599999999,1
