Sample name,lineages,abundances,scheme,tool,Background,expected_abundance,percent_of_expected
o2o3o4o5-3,BA.5.X,0.179,LolliPop: WB,LolliPop,WB,0.25,71.6
o5,BA.5.X,0.8874,LolliPop: WB,LolliPop,WB,1.0,88.74
o5-2,BA.5.X,0.9272,LolliPop: WB,LolliPop,WB,1.0,92.72
o5-3,BA.5.X,0.7878,LolliPop: WB,LolliPop,WB,1.0,78.78
0adgio1o2o3o4o5,BA.5.X,0.0968,VaQuERo: NWRB,VaQuERo,NWRB,0.13333333333333333,72.6
0aio1o2o3o4o5,BA.5.X,0.0787,VaQuERo: NWRB,VaQuERo,NWRB,0.125,62.96000000000001
0o5o3o4,BA.5.X,0.1174,VaQuERo: NWRB,VaQuERo,NWRB,0.25,46.96
agio3o4o5,BA.5.X,0.1046,VaQuERo: NWRB,VaQuERo,NWRB,0.1875,55.78666666666666
o1o2o3o4o5,BA.5.X,0.2365,VaQuERo: NWRB,VaQuERo,NWRB,0.25,94.6
o2o3o4o5,BA.5.X,0.2912,VaQuERo: NWRB,VaQuERo,NWRB,0.3125,93.184
o2o3o4o5-2,BA.5.X,0.1823,VaQuERo: NWRB,VaQuERo,NWRB,0.25,72.92
o2o3o4o5-3,BA.5.X,0.1867,VaQuERo: NWRB,VaQuERo,NWRB,0.25,74.68
o5,BA.5.X,0.8555,VaQuERo: NWRB,VaQuERo,NWRB,1.0,85.55
o5-2,BA.5.X,0.8642,VaQuERo: NWRB,VaQuERo,NWRB,1.0,86.42
o5-3,BA.5.X,0.8923,VaQuERo: NWRB,VaQuERo,NWRB,1.0,89.23
0adgio1o2o3o4o5,BA.5.X,0.074,VaQuERo: PWRB,VaQuERo,PWRB,0.13333333333333333,55.49999999999999
0aio1o2o3o4o5,BA.5.X,0.0374,VaQuERo: PWRB,VaQuERo,PWRB,0.125,29.92
0o5o3o4,BA.5.X,0.1117,VaQuERo: PWRB,VaQuERo,PWRB,0.25,44.68
agio3o4o5,BA.5.X,0.0331,VaQuERo: PWRB,VaQuERo,PWRB,0.1875,17.653333333333332
o1o2o3o4o5,BA.5.X,0.1089,VaQuERo: PWRB,VaQuERo,PWRB,0.25,43.56
o2o3o4o5,BA.5.X,0.1315,VaQuERo: PWRB,VaQuERo,PWRB,0.3125,42.08
o2o3o4o5-2,BA.5.X,0.1033,VaQuERo: PWRB,VaQuERo,PWRB,0.25,41.32
o2o3o4o5-3,BA.5.X,0.1748,VaQuERo: PWRB,VaQuERo,PWRB,0.25,69.92
o5,BA.5.X,0.8917,VaQuERo: PWRB,VaQuERo,PWRB,1.0,89.17
o5-2,BA.5.X,0.8986,VaQuERo: PWRB,VaQuERo,PWRB,1.0,89.86
o5-3,BA.5.X,0.9007,VaQuERo: PWRB,VaQuERo,PWRB,1.0,90.07
0adgio1o2o3o4o5,BA.5.X,0.0939,VaQuERo: WB,VaQuERo,WB,0.13333333333333333,70.42500000000001
0aio1o2o3o4o5,BA.5.X,0.0887,VaQuERo: WB,VaQuERo,WB,0.125,70.96000000000001
0o5o3o4,BA.5.X,0.1875,VaQuERo: WB,VaQuERo,WB,0.25,75.0
agio3o4o5,BA.5.X,0.1496,VaQuERo: WB,VaQuERo,WB,0.1875,79.78666666666668
o1o2o3o4o5,BA.5.X,0.2571,VaQuERo: WB,VaQuERo,WB,0.25,102.84
o2o3o4o5,BA.5.X,0.266,VaQuERo: WB,VaQuERo,WB,0.3125,85.12
o2o3o4o5-2,BA.5.X,0.2233,VaQuERo: WB,VaQuERo,WB,0.25,89.32
o2o3o4o5-3,BA.5.X,0.1911,VaQuERo: WB,VaQuERo,WB,0.25,76.44
o5,BA.5.X,0.8795999999999999,VaQuERo: WB,VaQuERo,WB,1.0,87.96
o5-2,BA.5.X,0.8855000000000001,VaQuERo: WB,VaQuERo,WB,1.0,88.55000000000001
o5-3,BA.5.X,0.913,VaQuERo: WB,VaQuERo,WB,1.0,91.3
0adgio1o2o3o4o5,BG.X,0.039,Alcov: NWRB,Alcov,NWRB,0.13333333333333333,29.25
0aio1o2o3o4o5,BG.X,0.062,Alcov: NWRB,Alcov,NWRB,0.125,49.6
0o5o3o4,BG.X,0.02,Alcov: NWRB,Alcov,NWRB,0.1875,10.666666666666668
adgio1o2o3,BG.X,0.101,Alcov: NWRB,Alcov,NWRB,0.25,40.400000000000006
agio3o4o5,BG.X,0.018000000000000002,Alcov: NWRB,Alcov,NWRB,0.125,14.400000000000002
o1o2o3o4o5,BG.X,0.06,Alcov: NWRB,Alcov,NWRB,0.125,48.0
o2o3o4o5,BG.X,0.159,Alcov: NWRB,Alcov,NWRB,0.25,63.6
o2o3o4o5-2,BG.X,0.154,Alcov: NWRB,Alcov,NWRB,0.25,61.6
o2o3o4o5-3,BG.X,0.125,Alcov: NWRB,Alcov,NWRB,0.25,50.0
o3,BG.X,0.945,Alcov: NWRB,Alcov,NWRB,1.0,94.5
o3-2,BG.X,0.951,Alcov: NWRB,Alcov,NWRB,1.0,95.1
o3-3,BG.X,0.95,Alcov: NWRB,Alcov,NWRB,1.0,95.0
o3-4,BG.X,0.947,Alcov: NWRB,Alcov,NWRB,1.0,94.69999999999999
0adgio1o2o3o4o5,BG.X,0.015,Alcov: PWRB,Alcov,PWRB,0.13333333333333333,11.25
0aio1o2o3o4o5,BG.X,0.007,Alcov: PWRB,Alcov,PWRB,0.125,5.6000000000000005
adgio1o2o3,BG.X,0.044,Alcov: PWRB,Alcov,PWRB,0.25,17.599999999999998
o1o2o3o4o5,BG.X,0.057,Alcov: PWRB,Alcov,PWRB,0.125,45.6
o2o3o4o5,BG.X,0.182,Alcov: PWRB,Alcov,PWRB,0.25,72.8
o2o3o4o5-2,BG.X,0.155,Alcov: PWRB,Alcov,PWRB,0.25,62.0
o2o3o4o5-3,BG.X,0.141,Alcov: PWRB,Alcov,PWRB,0.25,56.39999999999999
o3,BG.X,0.961,Alcov: PWRB,Alcov,PWRB,1.0,96.1
o3-2,BG.X,0.952,Alcov: PWRB,Alcov,PWRB,1.0,95.19999999999999
o3-3,BG.X,0.956,Alcov: PWRB,Alcov,PWRB,1.0,95.6
o3-4,BG.X,0.924,Alcov: PWRB,Alcov,PWRB,1.0,92.4
0adgio1o2o3o4o5,BG.X,0.067,Alcov: WB,Alcov,WB,0.13333333333333333,50.25000000000001
0aio1o2o3o4o5,BG.X,0.07200000000000001,Alcov: WB,Alcov,WB,0.125,57.60000000000001
0o5o3o4,BG.X,0.060000000000000005,Alcov: WB,Alcov,WB,0.1875,32.0
adgio1o2o3,BG.X,0.193,Alcov: WB,Alcov,WB,0.25,77.2
agio3o4o5,BG.X,0.073,Alcov: WB,Alcov,WB,0.125,58.4
o1o2o3o4o5,BG.X,0.085,Alcov: WB,Alcov,WB,0.125,68.0
o2o3o4o5,BG.X,0.186,Alcov: WB,Alcov,WB,0.25,74.4
o2o3o4o5-2,BG.X,0.189,Alcov: WB,Alcov,WB,0.25,75.6
o2o3o4o5-3,BG.X,0.168,Alcov: WB,Alcov,WB,0.25,67.2
o3,BG.X,0.96,Alcov: WB,Alcov,WB,1.0,96.0
o3-2,BG.X,0.964,Alcov: WB,Alcov,WB,1.0,96.39999999999999
o3-3,BG.X,0.96,Alcov: WB,Alcov,WB,1.0,96.0
o3-4,BG.X,0.962,Alcov: WB,Alcov,WB,1.0,96.2
0adgio1o2o3o4o5,BG.X,0.07859849,Freyja: NWRB,Freyja,NWRB,0.13333333333333333,58.94886749999999
0aio1o2o3o4o5,BG.X,0.08206244,Freyja: NWRB,Freyja,NWRB,0.125,65.649952
0o5o3o4,BG.X,0.05372921,Freyja: NWRB,Freyja,NWRB,0.1875,28.655578666666663
adgio1o2o3,BG.X,0.10100944,Freyja: NWRB,Freyja,NWRB,0.25,40.403776
agio3o4o5,BG.X,0.06117502,Freyja: NWRB,Freyja,NWRB,0.125,48.940016
o1o2o3o4o5,BG.X,0.06932439,Freyja: NWRB,Freyja,NWRB,0.125,55.459512
o2o3o4o5,BG.X,0.16952984,Freyja: NWRB,Freyja,NWRB,0.25,67.81193599999999
o2o3o4o5-2,BG.X,0.18500122,Freyja: NWRB,Freyja,NWRB,0.25,74.000488
o2o3o4o5-3,BG.X,0.13434568,Freyja: NWRB,Freyja,NWRB,0.25,53.738271999999995
o3,BG.X,0.9886654500000001,Freyja: NWRB,Freyja,NWRB,1.0,98.866545
o3-2,BG.X,0.98386379,Freyja: NWRB,Freyja,NWRB,1.0,98.386379
o3-3,BG.X,0.98595313,Freyja: NWRB,Freyja,NWRB,1.0,98.59531299999999
o3-4,BG.X,0.98022306,Freyja: NWRB,Freyja,NWRB,1.0,98.022306
0adgio1o2o3o4o5,BG.X,0.06001886,Freyja: PWRB,Freyja,PWRB,0.13333333333333333,45.014145
0aio1o2o3o4o5,BG.X,0.03463118,Freyja: PWRB,Freyja,PWRB,0.125,27.704943999999998
0o5o3o4,BG.X,0.058691639999999996,Freyja: PWRB,Freyja,PWRB,0.1875,31.302207999999997
adgio1o2o3,BG.X,0.09646112,Freyja: PWRB,Freyja,PWRB,0.25,38.584448
agio3o4o5,BG.X,0.04124285,Freyja: PWRB,Freyja,PWRB,0.125,32.994279999999996
o1o2o3o4o5,BG.X,0.07831690999999999,Freyja: PWRB,Freyja,PWRB,0.125,62.653527999999994
o2o3o4o5,BG.X,0.21515236000000001,Freyja: PWRB,Freyja,PWRB,0.25,86.060944
o2o3o4o5-2,BG.X,0.14614056,Freyja: PWRB,Freyja,PWRB,0.25,58.456224
o2o3o4o5-3,BG.X,0.13541554,Freyja: PWRB,Freyja,PWRB,0.25,54.166216
o3,BG.X,0.9849303,Freyja: PWRB,Freyja,PWRB,1.0,98.49303
o3-2,BG.X,0.9834431499999999,Freyja: PWRB,Freyja,PWRB,1.0,98.344315
o3-3,BG.X,0.98959442,Freyja: PWRB,Freyja,PWRB,1.0,98.959442
o3-4,BG.X,0.92377707,Freyja: PWRB,Freyja,PWRB,1.0,92.377707
0adgio1o2o3o4o5,BG.X,0.07327725,Freyja: WB,Freyja,WB,0.13333333333333333,54.9579375
0aio1o2o3o4o5,BG.X,0.08687546,Freyja: WB,Freyja,WB,0.125,69.500368
0o5o3o4,BG.X,0.08075034,Freyja: WB,Freyja,WB,0.1875,43.066848
adgio1o2o3,BG.X,0.18962135,Freyja: WB,Freyja,WB,0.25,75.84854
agio3o4o5,BG.X,0.0684909,Freyja: WB,Freyja,WB,0.125,54.792719999999996
o1o2o3o4o5,BG.X,0.06217099,Freyja: WB,Freyja,WB,0.125,49.736792
o2o3o4o5,BG.X,0.19896746999999998,Freyja: WB,Freyja,WB,0.25,79.58698799999999
o2o3o4o5-2,BG.X,0.19290647,Freyja: WB,Freyja,WB,0.25,77.162588
o2o3o4o5-3,BG.X,0.1539635,Freyja: WB,Freyja,WB,0.25,61.5854
o3,BG.X,0.9888962,Freyja: WB,Freyja,WB,1.0,98.88962
o3-2,BG.X,0.98863098,Freyja: WB,Freyja,WB,1.0,98.86309800000001
o3-3,BG.X,0.98852796,Freyja: WB,Freyja,WB,1.0,98.852796
o3-4,BG.X,0.98841121,Freyja: WB,Freyja,WB,1.0,98.841121
0adgio1o2o3o4o5,BG.X,0.0332,kallisto: NWRB,kallisto,NWRB,0.13333333333333333,24.9
0aio1o2o3o4o5,BG.X,0.0403,kallisto: NWRB,kallisto,NWRB,0.125,32.24
0o5o3o4,BG.X,0.024,kallisto: NWRB,kallisto,NWRB,0.1875,12.8
adgio1o2o3,BG.X,0.0703,kallisto: NWRB,kallisto,NWRB,0.25,28.12
agio3o4o5,BG.X,0.0272,kallisto: NWRB,kallisto,NWRB,0.125,21.759999999999998
o1o2o3o4o5,BG.X,0.048799999999999996,kallisto: NWRB,kallisto,NWRB,0.125,39.04
o2o3o4o5,BG.X,0.0856,kallisto: NWRB,kallisto,NWRB,0.25,34.239999999999995
o2o3o4o5-2,BG.X,0.1004,kallisto: NWRB,kallisto,NWRB,0.25,40.160000000000004
o2o3o4o5-3,BG.X,0.058399999999999994,kallisto: NWRB,kallisto,NWRB,0.25,23.359999999999996
o3,BG.X,0.5314,kallisto: NWRB,kallisto,NWRB,1.0,53.14
o3-2,BG.X,0.5027,kallisto: NWRB,kallisto,NWRB,1.0,50.27
o3-3,BG.X,0.5201,kallisto: NWRB,kallisto,NWRB,1.0,52.01
o3-4,BG.X,0.5194,kallisto: NWRB,kallisto,NWRB,1.0,51.94
0adgio1o2o3o4o5,BG.X,0.044,kallisto: PWRB,kallisto,PWRB,0.13333333333333333,32.99999999999999
0aio1o2o3o4o5,BG.X,0.032,kallisto: PWRB,kallisto,PWRB,0.125,25.6
0o5o3o4,BG.X,0.0336,kallisto: PWRB,kallisto,PWRB,0.1875,17.919999999999998
adgio1o2o3,BG.X,0.07959999999999999,kallisto: PWRB,kallisto,PWRB,0.25,31.839999999999996
agio3o4o5,BG.X,0.0284,kallisto: PWRB,kallisto,PWRB,0.125,22.720000000000002
o1o2o3o4o5,BG.X,0.054400000000000004,kallisto: PWRB,kallisto,PWRB,0.125,43.52
o2o3o4o5,BG.X,0.1341,kallisto: PWRB,kallisto,PWRB,0.25,53.64
o2o3o4o5-2,BG.X,0.1021,kallisto: PWRB,kallisto,PWRB,0.25,40.839999999999996
o2o3o4o5-3,BG.X,0.0881,kallisto: PWRB,kallisto,PWRB,0.25,35.24
o3,BG.X,0.567,kallisto: PWRB,kallisto,PWRB,1.0,56.699999999999996
o3-2,BG.X,0.5954,kallisto: PWRB,kallisto,PWRB,1.0,59.540000000000006
o3-3,BG.X,0.5724,kallisto: PWRB,kallisto,PWRB,1.0,57.24
o3-4,BG.X,0.5315,kallisto: PWRB,kallisto,PWRB,1.0,53.15
0adgio1o2o3o4o5,BG.X,0.04,kallisto: WB,kallisto,WB,0.13333333333333333,30.0
0aio1o2o3o4o5,BG.X,0.042800000000000005,kallisto: WB,kallisto,WB,0.125,34.24
0o5o3o4,BG.X,0.038900000000000004,kallisto: WB,kallisto,WB,0.1875,20.74666666666667
adgio1o2o3,BG.X,0.10779999999999999,kallisto: WB,kallisto,WB,0.25,43.12
agio3o4o5,BG.X,0.0344,kallisto: WB,kallisto,WB,0.125,27.52
o1o2o3o4o5,BG.X,0.054599999999999996,kallisto: WB,kallisto,WB,0.125,43.68
o2o3o4o5,BG.X,0.1013,kallisto: WB,kallisto,WB,0.25,40.52
o2o3o4o5-2,BG.X,0.11259999999999999,kallisto: WB,kallisto,WB,0.25,45.04
o2o3o4o5-3,BG.X,0.0628,kallisto: WB,kallisto,WB,0.25,25.119999999999997
o3,BG.X,0.5641,kallisto: WB,kallisto,WB,1.0,56.410000000000004
o3-2,BG.X,0.5754,kallisto: WB,kallisto,WB,1.0,57.54
o3-3,BG.X,0.5564999999999999,kallisto: WB,kallisto,WB,1.0,55.64999999999999
o3-4,BG.X,0.5539999999999999,kallisto: WB,kallisto,WB,1.0,55.39999999999999
0adgio1o2o3o4o5,BG.X,0.0675,LCS: NWRB,LCS,NWRB,0.13333333333333333,50.62500000000001
0aio1o2o3o4o5,BG.X,0.0627,LCS: NWRB,LCS,NWRB,0.125,50.160000000000004
0o5o3o4,BG.X,0.0638,LCS: NWRB,LCS,NWRB,0.1875,34.026666666666664
adgio1o2o3,BG.X,0.1488,LCS: NWRB,LCS,NWRB,0.25,59.519999999999996
agio3o4o5,BG.X,0.0539,LCS: NWRB,LCS,NWRB,0.125,43.120000000000005
o1o2o3o4o5,BG.X,0.0801,LCS: NWRB,LCS,NWRB,0.125,64.08
o2o3o4o5,BG.X,0.2077,LCS: NWRB,LCS,NWRB,0.25,83.08
o2o3o4o5-2,BG.X,0.1382,LCS: NWRB,LCS,NWRB,0.25,55.279999999999994
o2o3o4o5-3,BG.X,0.1251,LCS: NWRB,LCS,NWRB,0.25,50.03999999999999
o3,BG.X,0.8358,LCS: NWRB,LCS,NWRB,1.0,83.58
o3-2,BG.X,0.9564,LCS: NWRB,LCS,NWRB,1.0,95.64
o3-3,BG.X,0.9361,LCS: NWRB,LCS,NWRB,1.0,93.61
o3-4,BG.X,0.9131,LCS: NWRB,LCS,NWRB,1.0,91.31
0adgio1o2o3o4o5,BG.X,0.0675,LCS: PWRB,LCS,PWRB,0.13333333333333333,50.62500000000001
0aio1o2o3o4o5,BG.X,0.0627,LCS: PWRB,LCS,PWRB,0.125,50.160000000000004
0o5o3o4,BG.X,0.0638,LCS: PWRB,LCS,PWRB,0.1875,34.026666666666664
adgio1o2o3,BG.X,0.1488,LCS: PWRB,LCS,PWRB,0.25,59.519999999999996
agio3o4o5,BG.X,0.0539,LCS: PWRB,LCS,PWRB,0.125,43.120000000000005
o1o2o3o4o5,BG.X,0.0801,LCS: PWRB,LCS,PWRB,0.125,64.08
o2o3o4o5,BG.X,0.2077,LCS: PWRB,LCS,PWRB,0.25,83.08
o2o3o4o5-2,BG.X,0.1382,LCS: PWRB,LCS,PWRB,0.25,55.279999999999994
o2o3o4o5-3,BG.X,0.1251,LCS: PWRB,LCS,PWRB,0.25,50.03999999999999
o3,BG.X,0.8358,LCS: PWRB,LCS,PWRB,1.0,83.58
o3-2,BG.X,0.9564,LCS: PWRB,LCS,PWRB,1.0,95.64
o3-3,BG.X,0.9361,LCS: PWRB,LCS,PWRB,1.0,93.61
o3-4,BG.X,0.9131,LCS: PWRB,LCS,PWRB,1.0,91.31
0adgio1o2o3o4o5,BG.X,0.0773,LCS: WB,LCS,WB,0.13333333333333333,57.975
0aio1o2o3o4o5,BG.X,0.0929,LCS: WB,LCS,WB,0.125,74.32
0o5o3o4,BG.X,0.0375,LCS: WB,LCS,WB,0.1875,20.0
adgio1o2o3,BG.X,0.2472,LCS: WB,LCS,WB,0.25,98.88
agio3o4o5,BG.X,0.0783,LCS: WB,LCS,WB,0.125,62.63999999999999
o1o2o3o4o5,BG.X,0.0944,LCS: WB,LCS,WB,0.125,75.52
o2o3o4o5,BG.X,0.1803,LCS: WB,LCS,WB,0.25,72.11999999999999
o2o3o4o5-2,BG.X,0.2036,LCS: WB,LCS,WB,0.25,81.44
o2o3o4o5-3,BG.X,0.1207,LCS: WB,LCS,WB,0.25,48.28
o3,BG.X,0.5642,LCS: WB,LCS,WB,1.0,56.42
o3-2,BG.X,0.9321,LCS: WB,LCS,WB,1.0,93.21000000000001
o3-3,BG.X,0.9048,LCS: WB,LCS,WB,1.0,90.48
o3-4,BG.X,0.8166,LCS: WB,LCS,WB,1.0,81.66
0adgio1o2o3o4o5,BG.X,0.1009,VaQuERo: NWRB,VaQuERo,NWRB,0.13333333333333333,75.675
0aio1o2o3o4o5,BG.X,0.127,VaQuERo: NWRB,VaQuERo,NWRB,0.125,101.6
0o5o3o4,BG.X,0.085,VaQuERo: NWRB,VaQuERo,NWRB,0.1875,45.333333333333336
adgio1o2o3,BG.X,0.1623,VaQuERo: NWRB,VaQuERo,NWRB,0.25,64.92
agio3o4o5,BG.X,0.0916,VaQuERo: NWRB,VaQuERo,NWRB,0.125,73.28
o1o2o3o4o5,BG.X,0.0785,VaQuERo: NWRB,VaQuERo,NWRB,0.125,62.8
o2o3o4o5,BG.X,0.1635,VaQuERo: NWRB,VaQuERo,NWRB,0.25,65.4
o2o3o4o5-2,BG.X,0.1691,VaQuERo: NWRB,VaQuERo,NWRB,0.25,67.64
o2o3o4o5-3,BG.X,0.1444,VaQuERo: NWRB,VaQuERo,NWRB,0.25,57.76
o3,BG.X,0.8662,VaQuERo: NWRB,VaQuERo,NWRB,1.0,86.61999999999999
o3-2,BG.X,0.8694,VaQuERo: NWRB,VaQuERo,NWRB,1.0,86.94
o3-3,BG.X,0.8643,VaQuERo: NWRB,VaQuERo,NWRB,1.0,86.42999999999999
o3-4,BG.X,0.8555,VaQuERo: NWRB,VaQuERo,NWRB,1.0,85.55
0adgio1o2o3o4o5,BG.X,0.0896,VaQuERo: PWRB,VaQuERo,PWRB,0.13333333333333333,67.2
0aio1o2o3o4o5,BG.X,0.0921,VaQuERo: PWRB,VaQuERo,PWRB,0.125,73.68
0o5o3o4,BG.X,0.0925,VaQuERo: PWRB,VaQuERo,PWRB,0.1875,49.333333333333336
adgio1o2o3,BG.X,0.1406,VaQuERo: PWRB,VaQuERo,PWRB,0.25,56.24
agio3o4o5,BG.X,0.0627,VaQuERo: PWRB,VaQuERo,PWRB,0.125,50.160000000000004
o1o2o3o4o5,BG.X,0.0826,VaQuERo: PWRB,VaQuERo,PWRB,0.125,66.08000000000001
o2o3o4o5,BG.X,0.2039,VaQuERo: PWRB,VaQuERo,PWRB,0.25,81.56
o2o3o4o5-2,BG.X,0.152,VaQuERo: PWRB,VaQuERo,PWRB,0.25,60.8
o2o3o4o5-3,BG.X,0.1439,VaQuERo: PWRB,VaQuERo,PWRB,0.25,57.56
o3,BG.X,0.8942,VaQuERo: PWRB,VaQuERo,PWRB,1.0,89.42
o3-2,BG.X,0.8881,VaQuERo: PWRB,VaQuERo,PWRB,1.0,88.81
o3-3,BG.X,0.886,VaQuERo: PWRB,VaQuERo,PWRB,1.0,88.6
o3-4,BG.X,0.8489,VaQuERo: PWRB,VaQuERo,PWRB,1.0,84.89
0adgio1o2o3o4o5,BG.X,0.1138,VaQuERo: WB,VaQuERo,WB,0.13333333333333333,85.35000000000001
0aio1o2o3o4o5,BG.X,0.1237,VaQuERo: WB,VaQuERo,WB,0.125,98.96000000000001
0o5o3o4,BG.X,0.1198,VaQuERo: WB,VaQuERo,WB,0.1875,63.89333333333334
adgio1o2o3,BG.X,0.2381,VaQuERo: WB,VaQuERo,WB,0.25,95.24000000000001
agio3o4o5,BG.X,0.0912,VaQuERo: WB,VaQuERo,WB,0.125,72.96000000000001
o1o2o3o4o5,BG.X,0.1055,VaQuERo: WB,VaQuERo,WB,0.125,84.39999999999999
o2o3o4o5,BG.X,0.1948,VaQuERo: WB,VaQuERo,WB,0.25,77.92
o2o3o4o5-2,BG.X,0.1953,VaQuERo: WB,VaQuERo,WB,0.25,78.12
o2o3o4o5-3,BG.X,0.1492,VaQuERo: WB,VaQuERo,WB,0.25,59.68
o3,BG.X,0.8922,VaQuERo: WB,VaQuERo,WB,1.0,89.22
o3-2,BG.X,0.8928,VaQuERo: WB,VaQuERo,WB,1.0,89.28
o3-3,BG.X,0.8933,VaQuERo: WB,VaQuERo,WB,1.0,89.33
o3-4,BG.X,0.8942,VaQuERo: WB,VaQuERo,WB,1.0,89.42
0adgio1,Delta,0.17100000000000004,Alcov: NWRB,Alcov,NWRB,0.1875,91.20000000000003
0adgio1-2,Delta,0.11700000000000003,Alcov: NWRB,Alcov,NWRB,0.14285714285714288,81.90000000000002
0adgio1o2o3o4o5,Delta,0.03500000000000001,Alcov: NWRB,Alcov,NWRB,0.06666666666666667,52.500000000000014
adgio1o2o3,Delta,0.17300000000000001,Alcov: NWRB,Alcov,NWRB,0.1875,92.26666666666668
d,Delta,0.9650000000000001,Alcov: NWRB,Alcov,NWRB,1.0,96.50000000000001
d-2,Delta,0.9640000000000001,Alcov: NWRB,Alcov,NWRB,1.0,96.4
0adgio1,Delta,0.15200000000000002,Alcov: PWRB,Alcov,PWRB,0.1875,81.06666666666668
0adgio1-2,Delta,0.11300000000000002,Alcov: PWRB,Alcov,PWRB,0.14285714285714288,79.10000000000001
0adgio1o2o3o4o5,Delta,0.05200000000000001,Alcov: PWRB,Alcov,PWRB,0.06666666666666667,78.00000000000001
adgio1o2o3,Delta,0.18800000000000003,Alcov: PWRB,Alcov,PWRB,0.1875,100.26666666666668
d,Delta,0.969,Alcov: PWRB,Alcov,PWRB,1.0,96.89999999999999
d-2,Delta,0.9680000000000001,Alcov: PWRB,Alcov,PWRB,1.0,96.80000000000001
0adgio1,Delta,0.11100000000000002,Alcov: WB,Alcov,WB,0.1875,59.20000000000001
0adgio1-2,Delta,0.07200000000000001,Alcov: WB,Alcov,WB,0.14285714285714288,50.4
0adgio1o2o3o4o5,Delta,0.032,Alcov: WB,Alcov,WB,0.06666666666666667,48.00000000000001
adgio1o2o3,Delta,0.132,Alcov: WB,Alcov,WB,0.1875,70.4
d,Delta,0.971,Alcov: WB,Alcov,WB,1.0,97.1
d-2,Delta,0.974,Alcov: WB,Alcov,WB,1.0,97.39999999999999
0adgio1,Delta,0.15529487,Freyja: NWRB,Freyja,NWRB,0.1875,82.82393066666667
0adgio1-2,Delta,0.09322065,Freyja: NWRB,Freyja,NWRB,0.14285714285714288,65.254455
0adgio1o2o3o4o5,Delta,0.029684610000000004,Freyja: NWRB,Freyja,NWRB,0.06666666666666667,44.526915
adgio1o2o3,Delta,0.16075943000000004,Freyja: NWRB,Freyja,NWRB,0.1875,85.73836266666669
d,Delta,0.98514272,Freyja: NWRB,Freyja,NWRB,1.0,98.514272
d-2,Delta,0.98711714,Freyja: NWRB,Freyja,NWRB,1.0,98.711714
0adgio1,Delta,0.14841100999999998,Freyja: PWRB,Freyja,PWRB,0.1875,79.15253866666666
0adgio1-2,Delta,0.09723189999999998,Freyja: PWRB,Freyja,PWRB,0.14285714285714288,68.06232999999999
0adgio1o2o3o4o5,Delta,0.03948475,Freyja: PWRB,Freyja,PWRB,0.06666666666666667,59.227125
adgio1o2o3,Delta,0.16811644999999997,Freyja: PWRB,Freyja,PWRB,0.1875,89.66210666666666
d,Delta,0.98523117,Freyja: PWRB,Freyja,PWRB,1.0,98.523117
d-2,Delta,0.9886439300000001,Freyja: PWRB,Freyja,PWRB,1.0,98.864393
0adgio1,Delta,0.09877369,Freyja: WB,Freyja,WB,0.1875,52.67930133333333
0adgio1-2,Delta,0.06754953000000001,Freyja: WB,Freyja,WB,0.14285714285714288,47.284671
0adgio1o2o3o4o5,Delta,0.02499044,Freyja: WB,Freyja,WB,0.06666666666666667,37.485659999999996
adgio1o2o3,Delta,0.11932714999999999,Freyja: WB,Freyja,WB,0.1875,63.64114666666666
d,Delta,0.9848493100000001,Freyja: WB,Freyja,WB,1.0,98.484931
d-2,Delta,0.98471052,Freyja: WB,Freyja,WB,1.0,98.471052
0adgio1,Delta,0.1,kallisto (C-WAP): NWRB,kallisto (C-WAP),NWRB,0.1875,53.333333333333336
0adgio1-2,Delta,0.066,kallisto (C-WAP): NWRB,kallisto (C-WAP),NWRB,0.14285714285714288,46.199999999999996
0adgio1o2o3o4o5,Delta,0.032,kallisto (C-WAP): NWRB,kallisto (C-WAP),NWRB,0.06666666666666667,48.00000000000001
adgio1o2o3,Delta,0.132,kallisto (C-WAP): NWRB,kallisto (C-WAP),NWRB,0.1875,70.4
d,Delta,0.594,kallisto (C-WAP): NWRB,kallisto (C-WAP),NWRB,1.0,59.4
d-2,Delta,0.585,kallisto (C-WAP): NWRB,kallisto (C-WAP),NWRB,1.0,58.5
0adgio1,Delta,0.099,kallisto (C-WAP): PWRB,kallisto (C-WAP),PWRB,0.1875,52.800000000000004
0adgio1-2,Delta,0.07,kallisto (C-WAP): PWRB,kallisto (C-WAP),PWRB,0.14285714285714288,49.0
0adgio1o2o3o4o5,Delta,0.036,kallisto (C-WAP): PWRB,kallisto (C-WAP),PWRB,0.06666666666666667,53.99999999999999
adgio1o2o3,Delta,0.126,kallisto (C-WAP): PWRB,kallisto (C-WAP),PWRB,0.1875,67.2
d,Delta,0.581,kallisto (C-WAP): PWRB,kallisto (C-WAP),PWRB,1.0,58.099999999999994
d-2,Delta,0.615,kallisto (C-WAP): PWRB,kallisto (C-WAP),PWRB,1.0,61.5
0adgio1,Delta,0.062,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.1875,33.06666666666666
0adgio1-2,Delta,0.045,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.14285714285714288,31.499999999999993
0adgio1o2o3o4o5,Delta,0.021,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.06666666666666667,31.5
adgio1o2o3,Delta,0.087,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.1875,46.4
