Sample name,lineages,abundances,scheme,tool,Background,expected_abundance,percent_of_expected
o5-2,BA.5.X,0.8420000000000001,kallisto (C-WAP): PWRB,kallisto (C-WAP),PWRB,1.0,84.2
o5-3,BA.5.X,0.768,kallisto (C-WAP): PWRB,kallisto (C-WAP),PWRB,1.0,76.8
0adgio1o2o3o4o5,BA.5.X,0.068,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.13333333333333333,51.0
0aio1o2o3o4o5,BA.5.X,0.077,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.125,61.6
0o5o3o4,BA.5.X,0.101,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.25,40.400000000000006
agio3o4o5,BA.5.X,0.091,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.1875,48.53333333333333
o1o2o3o4o5,BA.5.X,0.13,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.25,52.0
o2o3o4o5,BA.5.X,0.124,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.3125,39.68
o2o3o4o5-2,BA.5.X,0.103,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.25,41.199999999999996
o2o3o4o5-3,BA.5.X,0.114,kallisto (C-WAP): WB,kallisto (C-WAP),WB,0.25,45.6
o5,BA.5.X,0.8280000000000001,kallisto (C-WAP): WB,kallisto (C-WAP),WB,1.0,82.80000000000001
o5-2,BA.5.X,0.8140000000000001,kallisto (C-WAP): WB,kallisto (C-WAP),WB,1.0,81.4
o5-3,BA.5.X,0.748,kallisto (C-WAP): WB,kallisto (C-WAP),WB,1.0,74.8
0adgio1o2o3o4o5,BA.5.X,0.13809999999999997,kallisto: NWRB,kallisto,NWRB,0.13333333333333333,103.57499999999997
0aio1o2o3o4o5,BA.5.X,0.1414,kallisto: NWRB,kallisto,NWRB,0.125,113.12
0o5o3o4,BA.5.X,0.13539999999999996,kallisto: NWRB,kallisto,NWRB,0.25,54.15999999999998
agio3o4o5,BA.5.X,0.13149999999999998,kallisto: NWRB,kallisto,NWRB,0.1875,70.13333333333333
o1o2o3o4o5,BA.5.X,0.21610000000000001,kallisto: NWRB,kallisto,NWRB,0.25,86.44000000000001
o2o3o4o5,BA.5.X,0.2283,kallisto: NWRB,kallisto,NWRB,0.3125,73.056
o2o3o4o5-2,BA.5.X,0.19019999999999992,kallisto: NWRB,kallisto,NWRB,0.25,76.07999999999997
o2o3o4o5-3,BA.5.X,0.21309999999999998,kallisto: NWRB,kallisto,NWRB,0.25,85.24
o5,BA.5.X,0.6244999999999998,kallisto: NWRB,kallisto,NWRB,1.0,62.44999999999998
o5-2,BA.5.X,0.6621000000000001,kallisto: NWRB,kallisto,NWRB,1.0,66.21000000000001
o5-3,BA.5.X,0.5575000000000001,kallisto: NWRB,kallisto,NWRB,1.0,55.750000000000014
0adgio1o2o3o4o5,BA.5.X,0.11999999999999997,kallisto: PWRB,kallisto,PWRB,0.13333333333333333,89.99999999999999
0aio1o2o3o4o5,BA.5.X,0.11769999999999999,kallisto: PWRB,kallisto,PWRB,0.125,94.15999999999998
0o5o3o4,BA.5.X,0.12510000000000002,kallisto: PWRB,kallisto,PWRB,0.25,50.040000000000006
agio3o4o5,BA.5.X,0.11309999999999998,kallisto: PWRB,kallisto,PWRB,0.1875,60.319999999999986
o1o2o3o4o5,BA.5.X,0.16009999999999994,kallisto: PWRB,kallisto,PWRB,0.25,64.03999999999998
o2o3o4o5,BA.5.X,0.16310000000000002,kallisto: PWRB,kallisto,PWRB,0.3125,52.19200000000001
o2o3o4o5-2,BA.5.X,0.15000000000000005,kallisto: PWRB,kallisto,PWRB,0.25,60.00000000000002
o2o3o4o5-3,BA.5.X,0.19160000000000008,kallisto: PWRB,kallisto,PWRB,0.25,76.64000000000003
o5,BA.5.X,0.6940999999999999,kallisto: PWRB,kallisto,PWRB,1.0,69.41
o5-2,BA.5.X,0.7113999999999998,kallisto: PWRB,kallisto,PWRB,1.0,71.13999999999999
o5-3,BA.5.X,0.6247,kallisto: PWRB,kallisto,PWRB,1.0,62.470000000000006
0adgio1o2o3o4o5,BA.5.X,0.14780000000000001,kallisto: WB,kallisto,WB,0.13333333333333333,110.85000000000001
0aio1o2o3o4o5,BA.5.X,0.15420000000000006,kallisto: WB,kallisto,WB,0.125,123.36000000000004
0o5o3o4,BA.5.X,0.16590000000000002,kallisto: WB,kallisto,WB,0.25,66.36000000000001
agio3o4o5,BA.5.X,0.1545999999999999,kallisto: WB,kallisto,WB,0.1875,82.45333333333328
o1o2o3o4o5,BA.5.X,0.2332,kallisto: WB,kallisto,WB,0.25,93.28
o2o3o4o5,BA.5.X,0.24249999999999997,kallisto: WB,kallisto,WB,0.3125,77.6
