lineage,sample,meanAF,meanAF_uniq,minAF_uniq_nonzero,N,lineage N. rules,lineage prop.
BA.2.12,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.12.1,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.12.2,Mixture06,0.0188679245283019,0,NA,1,53,0.0188679245283019
BA.2.13,Mixture06,0.0188679245283019,0,NA,1,53,0.0188679245283019
BA.2.13.1,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.14,Mixture06,0.0188679245283019,0,NA,1,53,0.0188679245283019
BA.2.15,Mixture06,0.0192307692307692,0,NA,1,52,0.0192307692307692
BA.2.16,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.17,Mixture06,0.0222222222222222,0,NA,1,45,0.0222222222222222
BA.2.18,Mixture06,0.0188679245283019,0,NA,1,53,0.0188679245283019
BA.2.19,Mixture06,0.0192307692307692,0,NA,1,52,0.0192307692307692
BA.2.2,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.2.1,Mixture06,0.0175438596491228,0,NA,1,57,0.0175438596491228
BA.2.20,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.21,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.22,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.23,Mixture06,0.0192307692307692,0,NA,1,52,0.0192307692307692
BA.2.23.1,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.24,Mixture06,0.0188679245283019,0,NA,1,53,0.0188679245283019
BA.2.25,Mixture06,0.0222222222222222,0,NA,1,45,0.0222222222222222
BA.2.26,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.27,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.28,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.29,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.3,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.3.1,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.10,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.11,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.12,Mixture06,0.0175438596491228,0,NA,1,57,0.0175438596491228
BA.2.3.13,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.14,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.15,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.3.16,NA,0,0,NA,0,1,0
BA.2.3.17,Mixture06,0.0175438596491228,0,NA,1,57,0.0175438596491228
BA.2.3.2,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.3.20,Mixture06,0.0144927536231884,0,NA,1,69,0.0144927536231884
BA.2.3.21,Mixture06,0.0192307692307692,0,NA,1,52,0.0192307692307692
BA.2.3.4,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.5,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.6,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.7,Mixture06,0.0172413793103448,0,NA,1,58,0.0172413793103448
BA.2.3.8,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.3.9,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.30,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.31,Mixture06,0.0196078431372549,0,NA,1,51,0.0196078431372549
BA.2.31.1,Mixture06,0.0188679245283019,0,NA,1,53,0.0188679245283019
BA.2.32,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.33,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.34,Mixture06,0.02,0,NA,1,50,0.02
BA.2.35,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.36,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.37,Mixture06,0.0188679245283019,0,NA,1,53,0.0188679245283019
BA.2.38,NA,0,0,NA,0,1,0
BA.2.38.1,NA,0,0,NA,0,1,0
BA.2.38.2,Mixture06,0.0208333333333333,0,NA,1,48,0.0208333333333333
BA.2.38.3,NA,0,0,NA,0,1,0
BA.2.38.4,Mixture06,0.024390243902439,0,NA,1,41,0.024390243902439
BA.2.39,Mixture06,0.0175438596491228,0,NA,1,57,0.0175438596491228
BA.2.4,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.40,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.40.1,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.41,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.42,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.43,NA,0,0,NA,0,1,0
BA.2.44,Mixture06,0.0188679245283019,0,NA,1,53,0.0188679245283019
BA.2.45,Mixture06,0.0256410256410256,0,NA,1,39,0.0256410256410256
BA.2.47,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.48,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.49,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.5,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.50,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.51,Mixture06,0.0217391304347826,0,NA,1,46,0.0217391304347826
BA.2.52,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.53,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.54,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.55,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.56,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.57,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.58,NA,0,0,NA,0,1,0
BA.2.59,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.6,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.60,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.61,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.62,Mixture06,0.0196078431372549,0,NA,1,51,0.0196078431372549
BA.2.63,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.64,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.65,NA,0,0,NA,0,1,0
BA.2.66,NA,0,0,NA,0,1,0
BA.2.68,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.69,Mixture06,0.0212765957446809,0,NA,1,47,0.0212765957446809
BA.2.7,Mixture06,0.0217391304347826,0,NA,1,46,0.0217391304347826
BA.2.70,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.71,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.72,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.73,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
