	summarized	lineages	abundances	resid	coverage
Mixture34	[('Other', 0.4706), ('Alpha', 0.4422), ('Omicron', 0.05390000000000001), ('Delta', 0.0112), ('Beta', 0.0048), ('Mu', 0.004), ('Eta', 0.0033), ('Theta', 0.0028), ('Gamma', 0.0025), ('A', 0.0018), ('Kappa', 0.0016), ('Zeta', 0.001), ('Lambda', 0.0003)]	B.1.1.7 AY.4.2 BA.5 BA.3 XD BA.2.75 B.1.617.3 AV.1 XBB.1.16 B.1.351 EG.5.1 B.1.621 BA.2.86 B.1.525 B.1.1.318 BA.4 BA.1 P.3 XE BQ.1 CH.1.1 P.1 BA.4.6 B.1.623 A.23.1 B.1.617.1 XBB.1.5 XBB P.2 C.36.3 BA.2 B.1.617.2 C.37 Other	0.4422 0.0108 0.0081 0.0075 0.0067 0.0056 0.0055 0.0054 0.0051 0.0048 0.0042 0.004 0.0039 0.0033 0.0033 0.0032 0.003 0.0028 0.0027 0.0026 0.0025 0.0025 0.0023 0.0021 0.0018 0.0016 0.0015 0.0012 0.001 0.0007 0.0005 0.0004 0.0003 0.4469		
Mixture35	[('Gamma', 0.9301), ('Omicron', 0.032900000000000006), ('Other', 0.015600000000000001), ('Delta', 0.0077), ('Eta', 0.0046), ('Beta', 0.0023), ('Theta', 0.0022), ('Mu', 0.0015), ('Alpha', 0.0014), ('Kappa', 0.0008), ('A', 0.0005), ('Zeta', 0.0004)]	P.1 AY.4.2 XD B.1.525 BA.2.75 AV.1 BA.1 BA.5 CH.1.1 EG.5.1 B.1.617.3 BA.3 B.1.351 XE P.3 BA.2.86 BA.4.6 B.1.621 XBB.1.16 B.1.1.7 BA.4 B.1.1.318 B.1.623 XBB B.1.617.1 BQ.1 B.1.617.2 A.23.1 P.2 C.36.3 XBB.1.5 BA.2 Other	0.9301 0.007 0.005 0.0046 0.0045 0.0042 0.0041 0.004 0.0038 0.0034 0.0027 0.0026 0.0023 0.0022 0.0022 0.002 0.0016 0.0015 0.0015 0.0014 0.0012 0.0011 0.0009 0.0009 0.0008 0.0007 0.0007 0.0005 0.0004 0.0003 0.0002 0.0002 0.0014		
Mixture36	[('Other', 0.6619999999999999), ('Omicron', 0.1404), ('Beta', 0.1248), ('Delta', 0.0185), ('Zeta', 0.0178), ('Eta', 0.0078), ('Theta', 0.0068), ('Gamma', 0.0056), ('Mu', 0.0046), ('Kappa', 0.0043), ('A', 0.0033), ('Alpha', 0.0031), ('Lambda', 0.0011)]	B.1.351 XBB.1.5 P.2 BQ.1 AY.4.2 BA.5 BA.2 EG.5.1 B.1.1.318 CH.1.1 AV.1 XD BA.4 BA.4.6 B.1.525 B.1.623 XBB.1.16 BA.2.75 P.3 BA.3 P.1 B.1.621 XE B.1.617.3 BA.2.86 B.1.617.1 BA.1 A.23.1 B.1.1.7 B.1.617.2 C.36.3 XBB C.37 Other	0.1248 0.0317 0.0178 0.0167 0.0166 0.0142 0.0095 0.0092 0.0086 0.0086 0.0084 0.008 0.0079 0.0078 0.0078 0.0077 0.0072 0.0071 0.0068 0.0065 0.0056 0.0046 0.0045 0.0043 0.0043 0.0043 0.0035 0.0033 0.0031 0.0019 0.0018 0.0017 0.0011 0.6232		
Mixture37	[('Delta', 0.9093), ('Omicron', 0.036699999999999997), ('Other', 0.0266), ('Kappa', 0.0114), ('Eta', 0.004), ('Beta', 0.0034), ('Gamma', 0.0021), ('Alpha', 0.002), ('Lambda', 0.0012), ('Theta', 0.0012), ('Mu', 0.001), ('A', 0.0007), ('Zeta', 0.0003)]	B.1.617.2 B.1.617.3 B.1.617.1 BA.2.75 BA.5 AV.1 XD XBB.1.16 B.1.525 B.1.351 BA.2.86 BA.3 AY.4.2 CH.1.1 EG.5.1 P.1 B.1.1.7 BA.4.6 XBB.1.5 C.36.3 XBB XE C.37 BA.1 P.3 B.1.621 BQ.1 B.1.1.318 B.1.623 A.23.1 BA.4 P.2 BA.2 Other	0.9065 0.0114 0.0114 0.0061 0.0058 0.0051 0.0048 0.0042 0.004 0.0034 0.003 0.0029 0.0028 0.0028 0.0027 0.0021 0.002 0.002 0.0017 0.0016 0.0014 0.0012 0.0012 0.0012 0.0012 0.001 0.0009 0.0009 0.0008 0.0007 0.0006 0.0003 0.0002 0.002		
Mixture38	[('Omicron', 0.9350999999999997), ('Other', 0.0324), ('Delta', 0.0085), ('Beta', 0.0041), ('Eta', 0.004), ('Mu', 0.0034), ('Alpha', 0.0033), ('Gamma', 0.003), ('Theta', 0.0028), ('A', 0.0013), ('Kappa', 0.0013), ('Lambda', 0.0006), ('Zeta', 0.0002)]	BA.1 XD BA.3 AY.4.2 AV.1 BA.2.75 B.1.351 B.1.525 XE B.1.621 B.1.1.7 B.1.617.2 XBB.1.16 B.1.617.3 P.1 XBB BA.2.86 B.1.1.318 P.3 EG.5.1 B.1.623 CH.1.1 BA.5 BA.4.6 BA.4 A.23.1 B.1.617.1 BA.2 C.37 BQ.1 C.36.3 P.2 XBB.1.5 Other	0.9016 0.015 0.0053 0.0052 0.005 0.0042 0.0041 0.004 0.0034 0.0034 0.0033 0.0033 0.0032 0.0031 0.003 0.0029 0.0029 0.0029 0.0028 0.0025 0.0023 0.0022 0.0022 0.0016 0.0014 0.0013 0.0013 0.0012 0.0006 0.0004 0.0002 0.0002 0.0001 0.0039		
Mixture39	[('Omicron', 0.8933999999999999), ('Other', 0.0471), ('Delta', 0.0228), ('Lambda', 0.0067), ('Beta', 0.0063), ('Eta', 0.0053), ('Alpha', 0.0044), ('Theta', 0.0036), ('Gamma', 0.0027), ('Mu', 0.0027), ('Kappa', 0.0023), ('A', 0.0014), ('Zeta', 0.0013)]	BA.2 XE B.1.617.2 BA.3 XD AY.4.2 BA.5 BA.2.75 AV.1 C.37 B.1.351 EG.5.1 B.1.525 B.1.623 B.1.1.7 BA.4 XBB.1.16 BA.2.86 B.1.617.3 P.3 B.1.1.318 XBB CH.1.1 P.1 B.1.621 BA.1 B.1.617.1 XBB.1.5 BA.4.6 A.23.1 P.2 C.36.3 BQ.1 Other	0.7903 0.0461 0.0144 0.011 0.0108 0.0084 0.0078 0.0075 0.0071 0.0067 0.0063 0.0057 0.0053 0.0045 0.0044 0.0043 0.004 0.0039 0.0039 0.0036 0.0034 0.0033 0.0032 0.0027 0.0027 0.0025 0.0023 0.0015 0.0015 0.0014 0.0013 0.0009 0.0008 0.0165		
Mixture40	[('Omicron', 0.9300999999999998), ('Other', 0.0253), ('Delta', 0.0088), ('Beta', 0.007), ('Eta', 0.0051), ('Kappa', 0.0049), ('Theta', 0.0049), ('Alpha', 0.0035), ('Lambda', 0.0033), ('Gamma', 0.0028), ('Mu', 0.0028), ('Zeta', 0.0008), ('A', 0.0006)]	BA.2 XE BA.2.75 AY.4.2 B.1.351 AV.1 CH.1.1 XD BA.3 BA.5 B.1.525 B.1.617.1 P.3 B.1.617.3 XBB B.1.1.7 C.37 BA.2.86 EG.5.1 XBB.1.16 P.1 B.1.621 BA.1 BA.4.6 B.1.623 BA.4 B.1.617.2 B.1.1.318 BQ.1 P.2 XBB.1.5 C.36.3 A.23.1 Other	0.8718 0.01 0.0085 0.0071 0.007 0.0069 0.0068 0.0066 0.0061 0.0054 0.0051 0.0049 0.0049 0.0038 0.0035 0.0035 0.0033 0.0033 0.0032 0.003 0.0028 0.0028 0.0024 0.0024 0.0023 0.0022 0.0017 0.0016 0.0009 0.0008 0.0006 0.0006 0.0006 0.0035		
Mixture41	[('Omicron', 0.9563), ('Other', 0.0223), ('Beta', 0.0046), ('Delta', 0.0033), ('Kappa', 0.003), ('Eta', 0.0028), ('Alpha', 0.0021), ('Theta', 0.002), ('Gamma', 0.0015), ('Mu', 0.0014), ('Lambda', 0.0006), ('A', 0.0002)]	BA.4 BA.2 XE CH.1.1 BA.5 XD B.1.351 BA.3 B.1.617.3 AV.1 BA.2.75 B.1.617.1 B.1.525 AY.4.2 B.1.1.7 P.3 EG.5.1 P.1 B.1.621 B.1.1.318 C.36.3 BA.4.6 XBB.1.16 B.1.617.2 B.1.623 XBB C.37 BQ.1 BA.1 BA.2.86 A.23.1 Other	0.5707 0.2878 0.0623 0.0118 0.011 0.0087 0.0046 0.0045 0.0044 0.0041 0.003 0.003 0.0028 0.0024 0.0021 0.002 0.0016 0.0015 0.0014 0.0011 0.0011 0.001 0.0009 0.0009 0.0007 0.0007 0.0006 0.0004 0.0003 0.0003 0.0002 0.0022		
Mixture42	[('Omicron', 0.9136000000000001), ('Other', 0.0526), ('Delta', 0.0057), ('Eta', 0.0047), ('Beta', 0.0043), ('Lambda', 0.0042), ('Alpha', 0.0041), ('Gamma', 0.0032), ('Theta', 0.0024), ('Kappa', 0.0022), ('Mu', 0.0019), ('A', 0.0006), ('Zeta', 0.0004)]	BA.5 BA.4 CH.1.1 BA.2 BA.3 XE XD AV.1 XBB.1.5 B.1.525 BA.2.75 B.1.351 C.37 B.1.617.3 B.1.1.7 B.1.617.2 P.1 C.36.3 XBB.1.16 EG.5.1 P.3 B.1.623 B.1.617.1 AY.4.2 B.1.1.318 B.1.621 BA.4.6 BA.2.86 XBB BA.1 BQ.1 A.23.1 P.2 Other	0.7661 0.0597 0.027 0.0198 0.011 0.0088 0.0082 0.0064 0.0059 0.0047 0.0044 0.0043 0.0042 0.0042 0.0041 0.0036 0.0032 0.0028 0.0027 0.0026 0.0024 0.0023 0.0022 0.0021 0.002 0.0019 0.0014 0.0013 0.0012 0.001 0.0007 0.0006 0.0004 0.0267		
NFWA	[('Omicron', 0.8604999999999999), ('Other', 0.0986), ('Beta', 0.0327), ('Delta', 0.0057), ('Lambda', 0.0011), ('Mu', 0.0006), ('Theta', 0.0004), ('Alpha', 0.0002)]	BA.5 BA.2 AV.1 XE B.1.351 XD BQ.1 BA.2.75 AY.4.2 B.1.1.318 B.1.617.3 CH.1.1 B.1.623 XBB BA.4 XBB.1.5 BA.4.6 C.37 BA.3 B.1.621 BA.2.86 P.3 B.1.1.7 Other	0.5657 0.2297 0.0732 0.041 0.0327 0.0076 0.0057 0.0057 0.0057 0.0055 0.0035 0.0029 0.0027 0.0025 0.0025 0.0018 0.0014 0.0011 0.0011 0.0006 0.0005 0.0004 0.0002 0.0061		
NFWC	[('Omicron', 0.4988), ('Other', 0.24630000000000002), ('Beta', 0.0738), ('Kappa', 0.0626), ('Mu', 0.0479), ('Delta', 0.0305), ('Gamma', 0.0204), ('Alpha', 0.0087), ('Theta', 0.005), ('Zeta', 0.0034), ('Lambda', 0.0011), ('Eta', 0.0008), ('A', 0.0008)]	BA.5 XD BA.1 B.1.351 B.1.617.1 B.1.621 BA.4 B.1.617.2 BA.2.75 AV.1 P.1 BA.2 BA.3 B.1.1.7 EG.5.1 CH.1.1 P.3 P.2 B.1.1.318 AY.4.2 XBB.1.5 BA.2.86 B.1.617.3 XE B.1.623 XBB.1.16 C.37 BQ.1 B.1.525 A.23.1 BA.4.6 C.36.3 XBB Other	0.25 0.1654 0.1233 0.0738 0.0626 0.0479 0.0439 0.0277 0.0264 0.0214 0.0204 0.0165 0.0144 0.0087 0.0079 0.0067 0.005 0.0034 0.0033 0.0028 0.0027 0.0023 0.0022 0.0015 0.0014 0.0013 0.0011 0.0011 0.0008 0.0008 0.0006 0.0004 0.0002 0.0522		
